,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
49,Bazid Khan,"[56, 91, 3]","[8, 9, 0]","[3, 13, 0]","[0, 0, 0]","[24, 36, 0]","[0, 0, 0]","[7, 37, 2]","[0, 0, 0]",26.53061224489796
50,BB McCullum,"[2298, 2143, 76]","[175, 145, 1]","[530, 535, 15]","[7, 5, 0]","[320, 438, 16]","[107, 137, 4]","[286, 319, 8]","[0, 0, 0]",61.67069567553048
51,BC Lara,"[478, 686, 14]","[103, 178, 2]","[26, 67, 2]","[9, 11, 1]","[321, 364, 7]","[70, 63, 0]","[165, 151, 3]","[0, 0, 0]",49.658703071672356
52,Bilal Asif,"[7, 16, 1]","[13, 9, 0]","[2, 8, 1]","[0, 0, 0]","[17, 15, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",76.92307692307693
53,BJ Haddin,"[1249, 1466, 47]","[172, 181, 3]","[148, 168, 5]","[7, 14, 0]","[286, 407, 10]","[45, 77, 1]","[280, 400, 11]","[0, 0, 0]",50.20576131687243
54,BJ Hodge,"[117, 127, 7]","[32, 50, 1]","[1, 6, 0]","[15, 9, 0]","[63, 63, 3]","[0, 0, 0]","[59, 90, 3]","[0, 0, 0]",48.78048780487805
55,BJ Watling,"[317, 435, 11]","[13, 33, 0]","[28, 75, 2]","[0, 0, 0]","[84, 117, 2]","[8, 12, 1]","[30, 74, 3]","[0, 0, 0]",44.583333333333336
56,BKG Mendis,"[836, 1167, 38]","[117, 144, 4]","[248, 304, 5]","[0, 0, 0]","[469, 445, 9]","[218, 307, 13]","[241, 279, 7]","[28, 17, 1]",48.67872044506258
57,BM Duckett,"[31, 67, 3]","[0, 0, 0]","[8, 7, 0]","[0, 0, 0]","[34, 42, 0]","[0, 0, 0]","[30, 36, 2]","[0, 0, 0]",34.95145631067961
58,BOP Fernando,"[88, 127, 2]","[17, 19, 0]","[13, 24, 0]","[0, 0, 0]","[0, 0, 0]","[6, 21, 2]","[0, 8, 2]","[0, 2, 1]",53.2258064516129
59,BR McDermott,"[51, 80, 1]","[0, 0, 0]","[20, 41, 1]","[0, 0, 0]","[37, 27, 0]","[0, 0, 0]","[11, 16, 0]","[0, 0, 0]",45.378151260504204
60,BRM Taylor,"[1493, 2246, 55]","[215, 277, 3]","[357, 571, 14]","[35, 33, 0]","[980, 1066, 22]","[268, 289, 4]","[773, 1113, 31]","[13, 12, 0]",45.08950169327528
61,BT Foakes,"[31, 47, 0]","[0, 0, 0]","[19, 11, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[11, 20, 0]","[0, 0, 0]",29.508196721311474
62,C de Grandhomme,"[290, 304, 12]","[31, 19, 0]","[149, 118, 3]","[0, 0, 0]","[46, 46, 1]","[138, 133, 6]","[42, 39, 0]","[5, 11, 1]",55.92011412268189
63,C Hemraj,"[66, 75, 3]","[0, 0, 0]","[1, 6, 0]","[0, 0, 0]","[8, 12, 2]","[0, 0, 0]","[3, 5, 0]","[4, 3, 1]",78.04878048780488
64,C Jonker,"[16, 22, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[15, 12, 2]","[0, 0, 0]","[0, 0, 0]",83.87096774193549
65,C Munro,"[664, 662, 25]","[38, 33, 1]","[217, 203, 12]","[0, 0, 0]","[97, 103, 1]","[63, 75, 6]","[82, 68, 2]","[0, 0, 0]",60.12058570198106
66,C Zhuwao,"[56, 47, 3]","[0, 0, 0]","[10, 14, 1]","[0, 0, 0]","[26, 15, 1]","[0, 0, 0]","[16, 7, 0]","[0, 0, 0]",79.62962962962963
67,CA Lynn,"[65, 73, 3]","[1, 3, 1]","[4, 5, 0]","[0, 0, 0]","[0, 0, 0]","[5, 11, 0]","[0, 0, 0]","[0, 0, 0]",56.00000000000001
68,CA Pujara,"[40, 109, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 17, 2]","[0, 0, 0]",27.27272727272727
69,CD McMillan,"[250, 350, 9]","[37, 35, 1]","[33, 49, 0]","[0, 0, 0]","[28, 57, 2]","[26, 24, 1]","[63, 57, 2]","[0, 0, 0]",51.7162471395881
70,CH Gayle,"[2655, 3034, 100]","[339, 417, 8]","[383, 549, 20]","[65, 77, 0]","[693, 816, 15]","[256, 211, 4]","[197, 188, 1]","[0, 5, 1]",65.73670444638186
71,CJ Anderson,"[488, 463, 18]","[16, 14, 1]","[58, 79, 3]","[0, 0, 0]","[163, 117, 6]","[44, 60, 1]","[84, 69, 2]","[0, 0, 0]",62.36811254396248
72,CJ Chibhabha,"[906, 1388, 34]","[142, 203, 2]","[232, 389, 8]","[0, 0, 0]","[195, 320, 10]","[132, 179, 7]","[135, 246, 14]","[0, 0, 0]",47.41676234213548
73,CJ Ferguson,"[249, 273, 9]","[40, 51, 0]","[25, 23, 0]","[0, 0, 0]","[144, 221, 1]","[35, 49, 1]","[75, 92, 4]","[0, 0, 0]",37.32394366197183
74,CJA Amini,"[155, 236, 7]","[14, 12, 0]","[24, 20, 0]","[12, 28, 2]","[96, 159, 5]","[44, 70, 4]","[95, 150, 2]","[0, 0, 0]",36.68903803131991
75,CK Coventry,"[112, 147, 6]","[31, 43, 0]","[58, 63, 1]","[0, 0, 0]","[69, 65, 1]","[13, 11, 0]","[200, 229, 4]","[0, 0, 0]",54.24430641821946
76,CK Kapugedera,"[403, 573, 25]","[75, 130, 1]","[93, 161, 3]","[0, 0, 0]","[228, 279, 4]","[95, 140, 4]","[255, 395, 14]","[0, 0, 0]",36.37946040034813
77,CL Cairns,"[181, 181, 2]","[53, 57, 2]","[22, 36, 1]","[0, 0, 0]","[65, 98, 4]","[76, 71, 1]","[52, 85, 1]","[0, 0, 0]",50.779510022271715
78,CL White,"[703, 819, 26]","[180, 285, 3]","[108, 110, 2]","[63, 67, 1]","[229, 335, 7]","[103, 106, 1]","[241, 371, 4]","[0, 0, 0]",41.79471419791027
79,CM McBride,"[21, 34, 0]","[33, 42, 0]","[0, 0, 0]","[23, 28, 0]","[0, 0, 0]","[10, 12, 1]","[18, 22, 1]","[0, 0, 0]",64.76190476190476
80,CMW Read,"[89, 103, 5]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[23, 57, 3]","[11, 11, 0]","[0, 0, 0]","[0, 0, 0]",40.65040650406504
81,CR Ervine,"[704, 1087, 21]","[190, 214, 4]","[113, 175, 4]","[0, 0, 0]","[554, 775, 21]","[218, 256, 5]","[297, 390, 9]","[0, 0, 0]",43.73795761078998
82,CS Baugh,"[140, 165, 6]","[14, 11, 0]","[5, 15, 0]","[0, 0, 0]","[62, 106, 3]","[25, 41, 2]","[9, 7, 0]","[0, 0, 0]",40.0
83,CS MacLeod,"[613, 747, 20]","[167, 253, 11]","[17, 17, 2]","[0, 0, 0]","[183, 261, 5]","[216, 170, 1]","[289, 396, 6]","[0, 0, 0]",48.484848484848484
84,D Cleaver,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 10, 1]","[0, 0, 0]","[24, 27, 0]","[0, 0, 0]",37.5
85,D Elgar,"[21, 53, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[11, 14, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",37.5
86,D Ganga,"[63, 142, 1]","[25, 51, 3]","[0, 0, 0]","[25, 47, 0]","[6, 13, 1]","[0, 0, 0]","[11, 13, 1]","[0, 0, 0]",40.0
87,D Khanal,"[55, 72, 3]","[8, 19, 1]","[0, 0, 0]","[0, 0, 0]","[20, 8, 0]","[31, 40, 1]","[13, 26, 0]","[0, 0, 0]",36.22047244094488
88,D Lakshan,"[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 5, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
89,D Mongia,"[61, 142, 2]","[2, 2, 0]","[12, 11, 0]","[14, 8, 1]","[11, 8, 1]","[0, 0, 0]","[26, 41, 2]","[0, 0, 0]",36.507936507936506
90,D Murphy,"[0, 0, 0]","[3, 9, 0]","[0, 1, 1]","[0, 0, 0]","[4, 10, 0]","[0, 0, 0]","[0, 4, 1]","[0, 0, 0]",0.0
91,D Ramdin,"[667, 814, 34]","[81, 84, 4]","[167, 213, 8]","[10, 10, 0]","[374, 454, 7]","[131, 189, 6]","[226, 306, 12]","[2, 7, 1]",41.01326899879373
92,D Wiese,"[23, 37, 1]","[0, 0, 0]","[11, 21, 1]","[0, 0, 0]","[22, 21, 1]","[30, 24, 1]","[0, 0, 0]","[0, 0, 0]",53.48837209302325
93,DA Gunawardene,"[106, 222, 9]","[4, 11, 0]","[5, 17, 1]","[0, 0, 0]","[5, 4, 0]","[0, 0, 0]","[25, 38, 0]","[0, 0, 0]",38.62068965517241
94,DA Miller,"[1313, 1203, 27]","[233, 212, 3]","[482, 509, 14]","[6, 7, 0]","[639, 694, 15]","[331, 346, 9]","[136, 167, 2]","[51, 65, 2]",46.44312127859605
95,DA Warner,"[2954, 3050, 70]","[191, 179, 2]","[647, 721, 18]","[0, 0, 0]","[553, 710, 16]","[327, 313, 6]","[483, 517, 6]","[75, 82, 1]",52.122370936902485
96,DAS Gunaratne,"[202, 234, 10]","[58, 58, 1]","[70, 86, 0]","[0, 0, 0]","[78, 85, 1]","[65, 125, 4]","[32, 56, 2]","[11, 24, 0]",42.63565891472868
97,DC Thomas,"[79, 77, 5]","[1, 4, 0]","[24, 44, 3]","[0, 0, 0]","[34, 66, 4]","[5, 16, 2]","[43, 70, 3]","[0, 0, 0]",41.935483870967744
98,DE Bernard,"[23, 26, 1]","[10, 16, 0]","[7, 21, 2]","[0, 0, 0]","[38, 50, 2]","[4, 11, 1]","[29, 50, 1]","[0, 0, 0]",32.432432432432435
99,DE Budge,"[25, 36, 2]","[28, 23, 1]","[0, 0, 0]","[0, 0, 0]","[23, 36, 0]","[15, 13, 0]","[27, 53, 1]","[0, 0, 0]",32.20338983050847
100,DG Brownlie,"[165, 207, 5]","[18, 37, 1]","[39, 49, 1]","[0, 0, 0]","[4, 19, 1]","[43, 67, 4]","[25, 25, 1]","[3, 3, 0]",53.198653198653204
101,DI Joyce,"[20, 38, 2]","[0, 0, 0]","[9, 18, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",55.172413793103445
102,DJ Bravo,"[960, 1128, 38]","[67, 93, 4]","[236, 286, 11]","[12, 14, 0]","[473, 636, 11]","[56, 94, 4]","[92, 130, 4]","[0, 0, 0]",42.405063291139236
103,DJ Malan,"[200, 228, 7]","[4, 6, 0]","[63, 93, 3]","[0, 0, 0]","[0, 0, 0]","[46, 42, 1]","[42, 40, 0]","[31, 30, 0]",50.259067357512954
104,DJ Mitchell,"[105, 122, 5]","[10, 28, 0]","[38, 28, 0]","[0, 0, 0]","[76, 84, 3]","[114, 126, 2]","[65, 86, 2]","[8, 14, 1]",42.78846153846153
105,DJG Sammy,"[706, 667, 31]","[38, 25, 1]","[219, 216, 9]","[0, 0, 0]","[223, 308, 9]","[69, 84, 1]","[150, 222, 9]","[0, 0, 0]",57.36654804270462
106,DJM Short,"[43, 57, 1]","[40, 35, 0]","[29, 29, 1]","[0, 0, 0]","[15, 21, 1]","[10, 16, 1]","[28, 51, 0]","[18, 28, 2]",36.0655737704918
107,DM Bravo,"[968, 1379, 26]","[87, 91, 0]","[298, 439, 15]","[0, 0, 0]","[519, 908, 19]","[218, 301, 6]","[285, 429, 7]","[3, 8, 0]",46.67788057190917
108,DM de Silva,"[488, 624, 20]","[100, 94, 5]","[198, 257, 8]","[0, 0, 0]","[112, 155, 3]","[132, 227, 5]","[111, 183, 7]","[90, 111, 1]",45.81640942323315
109,DP Conway,"[206, 281, 8]","[40, 45, 3]","[84, 89, 1]","[0, 0, 0]","[157, 208, 1]","[87, 87, 2]","[40, 53, 1]","[26, 17, 0]",53.43750000000001
110,DR Smith,"[508, 613, 34]","[72, 57, 1]","[72, 90, 1]","[3, 3, 0]","[160, 157, 6]","[39, 65, 4]","[74, 127, 10]","[0, 0, 0]",59.91379310344828
111,DS Lehmann,"[134, 168, 3]","[22, 38, 0]","[6, 8, 0]","[0, 0, 0]","[58, 81, 0]","[14, 29, 2]","[32, 59, 2]","[0, 0, 0]",22.55639097744361
