,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Playing Style Score
279,ML Nkala,"[11, 10, 1]","[0, 0, 0]","[10, 12, 1]","[0, 0, 0]","[33, 26, 1]","[1, 4, 0]","[5, 14, 2]","[0, 0, 0]",60.0
280,MM Ali,"[943, 993, 34]","[70, 85, 4]","[202, 213, 12]","[0, 0, 0]","[238, 227, 8]","[126, 135, 9]","[90, 125, 6]","[33, 25, 1]",53.5840188014101
281,MM Iqbal,"[17, 37, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 41, 1]","[7, 7, 0]","[0, 0, 0]","[0, 0, 0]",37.5
282,MN Samuels,"[1531, 1907, 48]","[200, 222, 6]","[284, 430, 8]","[0, 0, 0]","[610, 974, 17]","[355, 465, 8]","[368, 530, 12]","[15, 19, 1]",50.966399048468624
283,MN van Wyk,"[103, 151, 7]","[3, 14, 0]","[38, 55, 2]","[0, 0, 0]","[48, 73, 0]","[46, 61, 1]","[33, 46, 5]","[0, 0, 0]",49.44649446494465
284,MN Waller,"[266, 344, 21]","[67, 62, 2]","[44, 85, 1]","[6, 17, 0]","[164, 231, 11]","[107, 134, 5]","[158, 283, 12]","[0, 0, 0]",44.827586206896555
285,MNK Fernando,"[60, 76, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 6, 1]","[6, 10, 0]",57.971014492753625
286,Mohammad Aadil Alam,"[19, 17, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 2, 0]","[0, 0, 0]","[0, 0, 0]",76.92307692307693
287,Mohammad Ashraful,"[689, 1027, 39]","[136, 252, 10]","[90, 168, 3]","[0, 0, 0]","[127, 243, 5]","[90, 116, 3]","[150, 198, 6]","[0, 0, 0]",49.921996879875195
288,Mohammad Boota,"[85, 113, 3]","[20, 13, 0]","[0, 0, 0]","[0, 0, 0]","[24, 34, 1]","[18, 24, 1]","[15, 29, 0]","[0, 0, 0]",49.382716049382715
289,Mohammad Hafeez,"[2683, 3822, 85]","[348, 462, 9]","[475, 621, 13]","[17, 23, 0]","[635, 715, 22]","[392, 465, 12]","[412, 545, 16]","[31, 23, 1]",49.38914480272381
290,Mohammad Haris,"[0, 3, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[6, 3, 0]","[0, 0, 0]",66.66666666666666
291,Mohammad Naim,"[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
292,Mohammad Rizwan,"[426, 450, 14]","[59, 74, 2]","[18, 30, 1]","[0, 0, 0]","[135, 184, 4]","[132, 182, 8]","[109, 144, 6]","[5, 7, 0]",35.294117647058826
293,Mohammad Shahzad,"[52, 73, 3]","[10, 11, 0]","[0, 0, 0]","[0, 0, 0]","[24, 25, 0]","[14, 13, 1]","[9, 24, 0]","[0, 0, 0]",60.550458715596335
294,Mohammed Qasim,"[10, 23, 0]","[7, 7, 0]","[0, 0, 0]","[0, 0, 0]","[8, 20, 0]","[3, 5, 1]","[15, 28, 0]","[0, 0, 0]",37.2093023255814
295,Mominul Haque,"[231, 315, 6]","[72, 92, 4]","[43, 34, 2]","[0, 0, 0]","[79, 140, 4]","[17, 14, 1]","[7, 13, 1]","[0, 0, 0]",44.097995545657014
296,Mosaddek Hossain,"[240, 248, 9]","[66, 53, 1]","[33, 44, 2]","[1, 3, 0]","[73, 126, 3]","[72, 133, 5]","[75, 86, 2]","[4, 9, 0]",50.0
297,MP Stoinis,"[537, 631, 18]","[82, 74, 3]","[81, 81, 4]","[0, 0, 0]","[109, 109, 3]","[186, 179, 9]","[105, 146, 3]","[86, 81, 1]",54.300168634064086
298,MP Vaughan,"[387, 626, 18]","[90, 98, 1]","[71, 133, 4]","[30, 49, 3]","[71, 116, 3]","[32, 58, 1]","[62, 88, 2]","[0, 0, 0]",38.49259757738896
299,MR Marsh,"[811, 790, 27]","[91, 96, 3]","[133, 141, 7]","[0, 0, 0]","[238, 333, 1]","[208, 255, 7]","[162, 238, 5]","[30, 39, 0]",48.77465630603706
300,MS Chapman,"[2, 12, 1]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[24, 27, 2]","[4, 12, 1]","[60, 31, 0]","[0, 0, 0]",68.13186813186813
301,MS Dhoni,"[3891, 4242, 96]","[388, 435, 6]","[826, 892, 26]","[28, 30, 1]","[1226, 1677, 12]","[359, 497, 7]","[688, 939, 14]","[12, 17, 0]",43.59665678080345
302,MS Sinclair,"[142, 213, 3]","[0, 0, 0]","[27, 45, 0]","[0, 0, 0]","[47, 66, 2]","[14, 23, 0]","[12, 19, 0]","[0, 0, 0]",38.01652892561984
303,MS Tshabalala,"[0, 0, 0]","[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0.0
304,MS Wade,"[831, 889, 37]","[69, 67, 1]","[141, 156, 5]","[0, 0, 0]","[203, 316, 8]","[95, 126, 4]","[154, 216, 5]","[15, 31, 1]",41.246684350132625
305,Muhammad Usman,"[226, 339, 13]","[57, 70, 3]","[0, 0, 0]","[0, 0, 0]","[135, 244, 6]","[32, 45, 2]","[100, 128, 2]","[0, 0, 0]",43.63636363636363
306,Mushfiqur Rahim,"[1724, 2335, 47]","[545, 711, 15]","[363, 478, 9]","[42, 53, 2]","[1211, 1428, 29]","[672, 751, 15]","[450, 633, 17]","[6, 12, 0]",39.65689208059047
307,Mushfiqur Rahman,"[98, 185, 5]","[6, 18, 1]","[8, 25, 0]","[0, 0, 0]","[31, 52, 0]","[0, 0, 0]","[1, 3, 0]","[0, 0, 0]",41.66666666666667
308,MV Boucher,"[643, 605, 26]","[213, 173, 3]","[85, 80, 2]","[3, 15, 0]","[283, 283, 5]","[110, 141, 2]","[160, 310, 4]","[0, 0, 0]",45.15698062792251
309,MW Machan,"[181, 217, 6]","[56, 75, 1]","[49, 63, 1]","[0, 0, 0]","[44, 84, 1]","[15, 16, 0]","[23, 49, 0]","[0, 0, 0]",40.76086956521739
310,N Boje,"[76, 63, 1]","[18, 22, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[21, 25, 0]","[0, 0, 0]",50.43478260869565
311,N Dickwella,"[763, 778, 25]","[114, 121, 4]","[158, 178, 9]","[0, 0, 0]","[216, 269, 6]","[144, 169, 2]","[49, 54, 0]","[29, 18, 1]",53.49626612355737
312,N Pooran,"[381, 430, 12]","[58, 60, 1]","[117, 114, 6]","[0, 0, 0]","[283, 322, 7]","[237, 237, 3]","[163, 173, 4]","[73, 73, 2]",54.11585365853659
313,N Rana,"[0, 0, 0]","[3, 8, 0]","[0, 0, 0]","[0, 0, 0]","[3, 4, 1]","[0, 0, 0]","[1, 2, 0]","[0, 0, 0]",0.0
314,Nafees Iqbal,"[28, 61, 4]","[8, 9, 0]","[0, 2, 0]","[0, 0, 0]","[5, 12, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",39.02439024390244
315,Najibullah Zadran,"[742, 775, 20]","[107, 113, 6]","[111, 155, 6]","[0, 0, 0]","[279, 388, 8]","[134, 136, 4]","[270, 272, 9]","[17, 14, 0]",54.21686746987952
316,Naseem Khushi,"[103, 81, 5]","[17, 20, 3]","[1, 2, 0]","[0, 2, 1]","[26, 20, 1]","[28, 20, 1]","[14, 40, 0]","[0, 0, 0]",52.910052910052904
317,Nasir Jamal,"[106, 167, 4]","[6, 10, 0]","[0, 0, 0]","[0, 0, 0]","[78, 95, 2]","[28, 54, 1]","[19, 33, 1]","[0, 0, 0]",29.535864978902953
318,Nasir Jamshed,"[565, 838, 19]","[198, 203, 5]","[121, 162, 7]","[2, 6, 1]","[184, 271, 5]","[0, 0, 0]","[76, 117, 2]","[0, 0, 0]",49.56369982547993
319,Nawroz Mangal,"[103, 190, 6]","[53, 86, 3]","[77, 90, 1]","[0, 0, 0]","[51, 92, 3]","[15, 37, 4]","[53, 66, 4]","[0, 0, 0]",42.61363636363637
320,Nazmul Hossain Shanto,"[82, 148, 6]","[9, 14, 1]","[0, 0, 0]","[0, 0, 0]","[32, 59, 3]","[6, 6, 1]","[37, 65, 3]","[0, 0, 0]",45.78313253012048
321,Nazmul Hossain,"[1, 12, 0]","[4, 12, 0]","[0, 5, 0]","[0, 0, 0]","[0, 4, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]",0.0
322,ND McKenzie,"[45, 88, 4]","[0, 0, 0]","[10, 13, 0]","[0, 0, 0]","[38, 41, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",30.107526881720432
323,NE Bonner,"[24, 42, 1]","[7, 9, 1]","[1, 5, 0]","[0, 0, 0]","[15, 31, 0]","[0, 0, 0]","[13, 24, 1]","[0, 0, 0]",20.0
324,Nestor Dhamba,"[10, 19, 0]","[0, 0, 0]","[0, 0, 0]","[0, 10, 1]","[5, 4, 1]","[1, 2, 1]","[0, 0, 0]","[0, 0, 0]",25.0
325,NJ Astle,"[387, 485, 11]","[144, 175, 2]","[140, 179, 1]","[0, 0, 0]","[80, 128, 2]","[0, 0, 0]","[49, 83, 1]","[0, 0, 0]",49.75
326,NJ O'Brien,"[542, 734, 20]","[121, 177, 5]","[71, 96, 6]","[20, 43, 0]","[389, 568, 15]","[114, 204, 7]","[146, 181, 7]","[0, 0, 0]",42.05274411974341
327,Noor Ali Zadran,"[286, 454, 13]","[95, 146, 6]","[39, 59, 0]","[0, 0, 0]","[39, 80, 3]","[60, 94, 3]","[76, 131, 4]","[0, 0, 0]",48.739495798319325
328,NT Broom,"[365, 430, 9]","[20, 27, 1]","[101, 168, 8]","[0, 0, 0]","[83, 115, 2]","[3, 11, 3]","[132, 160, 5]","[1, 2, 0]",41.13475177304964
329,Nurul Hasan,"[74, 60, 1]","[11, 9, 0]","[7, 20, 1]","[0, 0, 0]","[13, 21, 0]","[0, 0, 0]","[24, 37, 0]","[0, 0, 0]",52.71317829457365
330,O Davidson,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 13, 1]","[1, 7, 0]","[0, 0, 0]",0.0
331,P Khadka,"[14, 38, 1]","[0, 0, 0]","[5, 8, 0]","[0, 0, 0]","[0, 0, 0]","[26, 31, 1]","[9, 5, 1]","[0, 0, 0]",44.44444444444444
332,P Mustard,"[129, 148, 4]","[6, 14, 1]","[41, 40, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[17, 13, 0]","[0, 0, 0]",60.10362694300518
333,P Nissanka,"[259, 349, 8]","[23, 38, 0]","[19, 37, 3]","[0, 0, 0]","[84, 99, 1]","[41, 41, 1]","[62, 77, 3]","[0, 0, 0]",49.59016393442623
334,P Sarraf,"[2, 8, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 6, 1]","[15, 15, 1]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
335,PA Jaques,"[106, 144, 5]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[13, 17, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",58.82352941176471
336,PARP Perera,"[5, 11, 1]","[11, 13, 0]","[0, 0, 0]","[0, 0, 0]","[4, 6, 0]","[7, 15, 0]","[0, 0, 0]","[0, 0, 0]",29.629629629629626
337,PC de Silva,"[40, 42, 1]","[0, 0, 0]","[7, 5, 0]","[0, 0, 0]","[10, 20, 2]","[1, 1, 0]","[25, 32, 2]","[0, 0, 0]",50.602409638554214
338,PD Collingwood,"[1106, 1401, 35]","[244, 279, 7]","[174, 251, 9]","[36, 45, 1]","[443, 639, 13]","[173, 224, 5]","[475, 639, 10]","[0, 0, 0]",38.928706148623164
339,PD Macchi,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 10, 1]","[0, 0, 0]",0.0
340,PD McGlashan,"[28, 19, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[14, 19, 0]","[0, 0, 0]","[4, 2, 0]","[0, 0, 0]",39.130434782608695
341,PD Salt,"[149, 109, 6]","[0, 0, 0]","[49, 49, 1]","[0, 0, 0]","[0, 0, 0]","[5, 6, 0]","[3, 6, 1]","[0, 0, 0]",70.87378640776699
342,PG Fulton,"[364, 524, 9]","[26, 40, 3]","[128, 178, 4]","[0, 0, 0]","[56, 93, 1]","[0, 0, 0]","[81, 117, 3]","[0, 0, 0]",47.93893129770993
343,PHKD Mendis,"[31, 38, 0]","[6, 9, 0]","[0, 0, 0]","[0, 0, 0]","[5, 12, 1]","[4, 10, 0]","[29, 61, 1]","[7, 11, 0]",29.268292682926827
344,PJ Forrest,"[185, 265, 8]","[18, 31, 1]","[0, 0, 0]","[0, 0, 0]","[53, 93, 1]","[0, 0, 0]","[21, 26, 0]","[0, 0, 0]",47.65342960288809
345,PJ Hughes,"[481, 594, 9]","[35, 54, 2]","[25, 24, 0]","[0, 0, 0]","[50, 118, 4]","[21, 33, 1]","[55, 60, 2]","[0, 0, 0]",48.275862068965516
346,PJ Moor,"[204, 316, 10]","[38, 42, 3]","[57, 123, 3]","[0, 0, 0]","[108, 162, 6]","[72, 126, 3]","[139, 238, 4]","[8, 6, 0]",47.92332268370607
347,PL Mommsen,"[119, 196, 3]","[64, 84, 4]","[6, 11, 2]","[0, 0, 0]","[95, 111, 1]","[36, 40, 3]","[59, 104, 0]","[0, 0, 0]",41.68865435356201
348,PR Stirling,"[1309, 1656, 41]","[356, 426, 6]","[275, 263, 7]","[24, 25, 0]","[728, 841, 13]","[290, 406, 9]","[281, 352, 8]","[0, 0, 0]",57.309224639901934
349,PS Masvaure,"[6, 16, 1]","[0, 0, 0]","[1, 7, 1]","[0, 0, 0]","[11, 11, 0]","[11, 12, 0]","[11, 17, 0]","[0, 0, 0]",20.0
350,PSP Handscomb,"[198, 203, 8]","[18, 19, 0]","[46, 54, 3]","[0, 0, 0]","[85, 65, 0]","[54, 62, 2]","[114, 139, 4]","[80, 81, 2]",35.63025210084034
351,Q de Kock,"[2237, 2375, 48]","[251, 223, 2]","[733, 858, 21]","[1, 8, 2]","[966, 1093, 27]","[419, 408, 8]","[319, 303, 4]","[8, 10, 0]",54.884475070936354
352,R Clarke,"[23, 40, 5]","[7, 11, 1]","[1, 22, 0]","[0, 0, 0]","[22, 40, 2]","[11, 14, 0]","[0, 0, 0]","[0, 0, 0]",31.25
353,R Mutumbami,"[190, 289, 10]","[56, 56, 5]","[77, 90, 0]","[0, 0, 0]","[67, 107, 4]","[30, 46, 2]","[75, 101, 3]","[0, 0, 0]",55.35353535353536
354,R Powell,"[387, 374, 15]","[28, 33, 1]","[115, 102, 3]","[0, 0, 0]","[130, 201, 5]","[69, 105, 4]","[59, 140, 4]","[17, 46, 3]",51.18012422360248
355,RA Jones,"[43, 91, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[23, 28, 1]","[15, 30, 0]","[0, 0, 0]","[0, 0, 0]",37.03703703703704
356,Raees Ahmadzai,"[6, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 12, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
357,Rahmat Shah,"[1207, 1873, 35]","[111, 178, 3]","[105, 168, 1]","[0, 0, 0]","[584, 777, 12]","[182, 253, 3]","[364, 451, 13]","[12, 20, 0]",40.62378167641326
358,RAJ Smith,"[10, 4, 1]","[0, 0, 0]","[0, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",100.0
359,Rajin Saleh,"[174, 351, 8]","[41, 58, 2]","[14, 49, 2]","[0, 0, 0]","[91, 164, 4]","[7, 22, 0]","[25, 34, 0]","[0, 0, 0]",35.79545454545455
360,Rameez Shahzad,"[216, 277, 4]","[10, 13, 1]","[4, 5, 0]","[0, 0, 0]","[119, 136, 2]","[25, 56, 0]","[130, 162, 5]","[0, 0, 0]",46.82539682539682
361,RAP Nissanka,"[8, 22, 0]","[4, 4, 0]","[0, 2, 1]","[0, 0, 0]","[5, 15, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",23.52941176470588
362,RD Berrington,"[347, 526, 13]","[142, 207, 4]","[10, 33, 2]","[23, 31, 1]","[283, 370, 9]","[176, 236, 6]","[177, 271, 3]","[0, 0, 0]",39.55094991364421
363,RD Gaikwad,"[13, 29, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 10, 0]","[1, 3, 1]",21.052631578947366
364,RD Jacobs,"[26, 62, 1]","[44, 49, 1]","[0, 3, 1]","[0, 0, 0]","[3, 14, 1]","[0, 0, 0]","[14, 24, 1]","[0, 0, 0]",25.287356321839084
365,RG Sharma,"[4069, 4741, 99]","[581, 561, 8]","[1233, 1476, 23]","[0, 0, 0]","[1035, 1138, 17]","[591, 582, 9]","[467, 521, 5]","[61, 66, 0]",54.796565882792095
366,RJ Nicol,"[229, 315, 7]","[117, 138, 1]","[10, 36, 2]","[0, 0, 0]","[71, 93, 4]","[0, 0, 0]","[7, 17, 1]","[0, 0, 0]",50.69124423963134
367,RK Paudel,"[98, 159, 2]","[55, 71, 2]","[15, 14, 1]","[10, 29, 0]","[73, 93, 3]","[151, 169, 2]","[93, 111, 2]","[0, 0, 0]",40.0
368,RN Lewis,"[46, 34, 3]","[18, 13, 1]","[3, 4, 1]","[0, 0, 0]","[10, 14, 1]","[0, 0, 0]","[26, 34, 0]","[0, 0, 0]",42.71844660194174
369,Rohan Mustafa,"[314, 483, 16]","[99, 124, 0]","[2, 2, 0]","[0, 1, 1]","[110, 242, 6]","[26, 62, 2]","[100, 142, 1]","[0, 0, 0]",48.23348694316436
370,RR Hendricks,"[231, 365, 9]","[15, 19, 3]","[104, 137, 5]","[0, 0, 0]","[67, 66, 3]","[87, 92, 2]","[93, 101, 2]","[19, 18, 0]",44.8051948051948
371,RR Pant,"[316, 337, 9]","[44, 50, 4]","[116, 94, 2]","[0, 0, 0]","[81, 105, 3]","[82, 54, 0]","[74, 69, 3]","[33, 25, 1]",58.17694369973191
372,RR Rossouw,"[593, 604, 11]","[90, 87, 0]","[106, 123, 9]","[0, 0, 0]","[133, 163, 7]","[92, 104, 2]","[87, 117, 0]","[0, 0, 0]",52.67938237965486
373,RR Sarwan,"[1179, 1624, 31]","[208, 307, 4]","[100, 174, 7]","[42, 42, 0]","[576, 790, 7]","[111, 208, 7]","[282, 357, 9]","[0, 0, 0]",38.99119295436349
374,RR Watson,"[83, 116, 2]","[5, 6, 1]","[8, 12, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",50.0
375,RS Kaluwitharana,"[62, 80, 1]","[2, 2, 0]","[0, 0, 0]","[0, 0, 0]","[3, 7, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",65.67164179104478
376,RT Crandon,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 1]","[5, 4, 0]","[0, 0, 0]","[0, 0, 0]",80.0
377,RV Uthappa,"[391, 405, 14]","[45, 71, 4]","[62, 113, 5]","[0, 0, 0]","[16, 30, 1]","[4, 5, 0]","[45, 39, 2]","[0, 0, 0]",57.548845470692726
378,RWT Key,"[16, 34, 2]","[4, 24, 1]","[7, 22, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
379,S Badrinath,"[21, 36, 1]","[19, 38, 1]","[0, 1, 0]","[0, 0, 0]","[16, 33, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",28.57142857142857
380,S Chanderpaul,"[1237, 1929, 28]","[276, 396, 5]","[140, 188, 1]","[44, 46, 1]","[460, 739, 10]","[115, 149, 2]","[293, 412, 2]","[0, 0, 0]",36.33528265107213
381,S Chattergoon,"[133, 214, 2]","[25, 28, 0]","[22, 23, 1]","[0, 0, 0]","[16, 43, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",63.26530612244898
382,S Dhawan,"[3362, 3789, 71]","[274, 346, 4]","[852, 942, 29]","[0, 0, 0]","[638, 718, 15]","[396, 393, 6]","[346, 393, 8]","[23, 20, 0]",57.0701069427941
383,S Samarawickrama,"[62, 78, 1]","[0, 0, 0]","[27, 29, 2]","[0, 0, 0]","[11, 11, 1]","[25, 29, 2]","[0, 2, 1]","[13, 20, 0]",52.17391304347826
384,S Vesawkar,"[0, 0, 0]","[0, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 0]","[4, 11, 0]","[6, 15, 0]","[0, 0, 0]",0.0
385,SA Yadav,"[159, 163, 7]","[37, 43, 2]","[13, 17, 1]","[0, 0, 0]","[22, 23, 1]","[31, 16, 0]","[103, 103, 3]","[0, 0, 0]",53.15068493150685
386,Sabbir Rahman,"[547, 570, 22]","[118, 126, 5]","[74, 86, 2]","[0, 0, 0]","[101, 128, 2]","[136, 193, 7]","[119, 161, 4]","[0, 0, 0]",56.25570776255707
387,Salman Faris,"[16, 25, 1]","[0, 0, 0]","[8, 12, 0]","[0, 0, 0]","[3, 11, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",44.44444444444444
388,Samiullah Shenwari,"[329, 573, 11]","[70, 123, 4]","[100, 126, 2]","[0, 0, 0]","[228, 396, 9]","[57, 114, 1]","[254, 328, 8]","[0, 0, 0]",40.655105973025044
389,Saqib Ali,"[34, 39, 0]","[17, 14, 1]","[1, 7, 0]","[0, 0, 0]","[11, 23, 1]","[0, 0, 0]","[7, 11, 0]","[0, 0, 0]",51.42857142857142
390,Saqlain Haider,"[2, 7, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 6, 1]","[5, 5, 0]","[3, 5, 1]","[0, 0, 0]",60.0
391,Sarfraz Ahmed,"[967, 1168, 27]","[142, 177, 5]","[203, 220, 7]","[0, 0, 0]","[282, 330, 6]","[222, 232, 13]","[188, 212, 4]","[32, 57, 1]",32.90766208251473
392,Saud Shakeel,"[40, 58, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 3, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",30.0
393,SB Bangar,"[5, 11, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",80.0
394,SB Styris,"[849, 1135, 25]","[124, 160, 2]","[262, 328, 6]","[0, 0, 0]","[445, 561, 11]","[106, 138, 2]","[279, 320, 7]","[0, 0, 0]",41.06537530266344
395,SC Ganguly,"[733, 1064, 18]","[62, 94, 4]","[55, 97, 3]","[0, 0, 0]","[56, 104, 1]","[5, 15, 3]","[68, 110, 1]","[0, 0, 0]",52.91113381001021
396,SC Getkate,"[14, 10, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 7, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",58.82352941176471
397,SC Kuggeleijn,"[11, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",36.36363636363637
398,SD Heazlett,"[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 7, 0]","[0, 0, 0]",0.0
399,SD Hope,"[1465, 2018, 42]","[198, 284, 4]","[494, 499, 12]","[0, 0, 0]","[575, 863, 8]","[441, 651, 10]","[394, 617, 4]","[147, 178, 2]",42.16478190630048
400,SE Marsh,"[1269, 1647, 29]","[26, 76, 3]","[177, 230, 10]","[0, 0, 0]","[273, 343, 8]","[183, 179, 3]","[277, 318, 5]","[59, 64, 2]",43.72791519434629
401,Shafiqullah,"[137, 92, 4]","[5, 7, 2]","[0, 0, 0]","[0, 0, 0]","[40, 29, 2]","[11, 12, 1]","[45, 34, 0]","[0, 0, 0]",68.90756302521008
402,Shaiman Anwar,"[367, 454, 11]","[66, 85, 1]","[19, 35, 0]","[0, 0, 0]","[167, 192, 2]","[136, 153, 5]","[152, 185, 6]","[0, 0, 0]",51.15766262403528
403,Shakib Al Hasan,"[1936, 2201, 39]","[672, 717, 11]","[254, 318, 6]","[26, 42, 1]","[1036, 1451, 32]","[398, 515, 14]","[433, 589, 12]","[14, 17, 1]",40.847137764730554
404,Sharjeel Khan,"[495, 413, 12]","[0, 0, 0]","[64, 87, 3]","[0, 0, 0]","[128, 86, 2]","[43, 40, 2]","[8, 17, 3]","[0, 0, 0]",72.62872628726286
405,Shoaib Khan,"[94, 126, 2]","[17, 35, 2]","[0, 0, 0]","[17, 17, 0]","[42, 39, 1]","[16, 23, 2]","[60, 86, 2]","[0, 0, 0]",37.39837398373984
406,Shoaib Malik,"[1846, 2440, 63]","[338, 412, 9]","[349, 457, 13]","[7, 11, 0]","[676, 788, 20]","[366, 375, 5]","[715, 738, 17]","[55, 69, 0]",42.325367647058826
407,Shubman Gill,"[393, 399, 10]","[95, 92, 2]","[41, 48, 1]","[0, 0, 0]","[49, 48, 0]","[59, 53, 0]","[155, 147, 1]","[0, 0, 0]",54.7979797979798
408,Shuvagata Hom,"[9, 7, 0]","[7, 19, 1]","[0, 0, 0]","[0, 0, 0]","[30, 28, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",43.47826086956522
409,SI Kamea,"[0, 10, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 10, 2]","[0, 0, 0]",0.0
410,Sikandar Raza,"[1158, 1224, 40]","[278, 267, 9]","[318, 416, 9]","[0, 0, 0]","[675, 824, 16]","[238, 328, 14]","[388, 662, 5]","[23, 31, 1]",46.783625730994146
411,Simi Singh,"[198, 210, 6]","[60, 71, 1]","[10, 18, 3]","[0, 0, 0]","[92, 175, 3]","[64, 125, 7]","[48, 67, 2]","[15, 32, 0]",40.6570841889117
412,SJ Cameron,"[4, 8, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 2, 0]","[0, 0, 0]","[1, 1, 0]","[0, 0, 0]",0.0
413,SK Raina,"[2278, 2356, 69]","[152, 175, 8]","[314, 355, 17]","[0, 0, 0]","[593, 805, 17]","[167, 187, 6]","[272, 291, 3]","[0, 0, 0]",47.61652542372881
414,SM Ervine,"[79, 100, 3]","[9, 8, 0]","[10, 9, 1]","[0, 0, 0]","[33, 44, 1]","[39, 22, 1]","[5, 5, 0]","[0, 0, 0]",49.142857142857146
415,SO Dowrich,"[0, 3, 0]","[0, 0, 0]","[6, 4, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",66.66666666666666
416,SO Hetmyer,"[490, 461, 14]","[37, 44, 0]","[71, 75, 4]","[0, 0, 0]","[224, 236, 11]","[161, 167, 3]","[222, 200, 3]","[82, 74, 2]",51.126651126651126
417,Sohaib Maqsood,"[303, 424, 14]","[29, 27, 1]","[81, 116, 1]","[0, 0, 0]","[47, 54, 2]","[80, 87, 3]","[35, 45, 0]","[0, 0, 0]",43.130434782608695
418,Soumya Sarkar,"[802, 841, 28]","[109, 93, 2]","[208, 225, 5]","[5, 10, 1]","[247, 314, 7]","[51, 63, 2]","[112, 111, 2]","[2, 6, 0]",59.375
