,Name,Team,Position,Batting,Bowling
127,IS Sodhi,New Zealand,Bowler,Right Handed Bat,Right-arm legbreak
128,Q de Kock,South Africa,WK-Batsman,Left Handed Bat,null
129,HM Amla,South Africa,Batsman,Right Handed Bat,Right-arm medium
130,F du Plessis,South Africa,Batsman,Right Handed Bat,Right-arm legbreak
131,AB de Villiers,South Africa,WK-Batsman,Right Handed Bat,Right-arm medium
132,JP Duminy,South Africa,Batting Allrounder,Left Handed Bat,Right-arm offbreak
133,F Behardien,South Africa,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
134,CH Morris,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
135,AL Phehlukwayo,South Africa,Bowling Allrounder,Left Handed Bat,Right-arm medium
136,T Shamsi,South Africa,Bowler,Right Handed Bat,Left-arm chinaman
137,K Rabada,South Africa,Bowler,Left Handed Bat,Right-arm fast
138,Imran Tahir,South Africa,Bowler,Right Handed Bat,Right-arm legbreak
139,DA Miller,South Africa,Batsman,Left Handed Bat,Right-arm offbreak
140,D Pretorius,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
141,WD Parnell,South Africa,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
142,Rubel Hossain,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
143,JJ Roy,England,Batsman,Right Handed Bat,null
144,AD Hales,England,Batsman,Right Handed Bat,Right-arm medium
145,JE Root,England,Batsman,Right Handed Bat,Right-arm offbreak
146,EJG Morgan,England,Batsman,Left Handed Bat,Right-arm medium
147,BA Stokes,England,Batting Allrounder,Left Handed Bat,Right-arm fast-medium
148,JC Buttler,England,WK-Batsman,Right Handed Bat,null
149,MM Ali,England,Batting Allrounder,Left Handed Bat,Right-arm offbreak
150,CR Woakes,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
151,LE Plunkett,England,Bowler,Right Handed Bat,Right-arm fast
152,MA Wood,England,Bowler,Right Handed Bat,Right-arm fast
153,JT Ball,England,Bowler,Right hand Bat,Right arm Fast medium
154,MC Henriques,Australia,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
155,JW Hastings,Australia,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
156,CJ Anderson,New Zealand,Batting Allrounder,Left Handed Bat,Left-arm fast-medium
157,AF Milne,New Zealand,Bowler,Right Handed Bat,Right-arm fast
158,M Morkel,South Africa,Bowler,Left Handed Bat,Right-arm fast
159,N Dickwella,Sri Lanka,WK-Batsman,Left Handed Bat,null
160,WU Tharanga,Sri Lanka,Batsman,Left Handed Bat,null
161,BKG Mendis,Sri Lanka,WK-Batsman,Right Handed Bat,null
162,LD Chandimal,Sri Lanka,WK-Batsman,Right Handed Bat,Right-arm offbreak
163,CK Kapugedera,Sri Lanka,Batsman,Right Handed Bat,Right-arm medium
164,MDKJ Perera,Sri Lanka,WK-Batsman,Left Handed Bat,null
165,DAS Gunaratne,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm medium
166,S Prasanna,Sri Lanka,Bowler,Right Handed Bat,Right-arm legbreak
167,SL Malinga,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast
168,N Pradeep,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
169,RG Sharma,India,Batsman,Right Handed Bat,Right-arm offbreak
170,S Dhawan,India,Batsman,Left Handed Bat,Right-arm offbreak
171,V Kohli,India,Batsman,Right Handed Bat,Right-arm medium
172,Yuvraj Singh,India,Batting Allrounder,Left Handed Bat,Left-arm orthodox
173,HH Pandya,India,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
174,RA Jadeja,India,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
175,B Kumar,India,Bowler,Right Handed Bat,Right-arm fast-medium
176,UT Yadav,India,Bowler,Right Handed Bat,Right-arm fast
177,Ahmed Shehzad,Pakistan,Batsman,Right Handed Bat,Right-arm legbreak
178,Sarfraz Ahmed,Pakistan,WK-Batsman,Right Handed Bat,null
179,Shadab Khan,Pakistan,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
180,Mehedi Hasan Miraz,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
181,AU Rashid,England,Bowler,Right Handed Bat,Right-arm legbreak
182,Fakhar Zaman,Pakistan,Batsman,Left Handed Bat,Left-arm orthodox
183,MD Gunathilaka,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
184,AD Mathews,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
185,NLTC Perera,Sri Lanka,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
186,R Ashwin,India,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
187,DM de Silva,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm offbreak
188,JM Bairstow,England,WK-Batsman,Right Handed Bat,Right-arm medium
189,Rumman Raees,Pakistan,Bowler,Right Handed Bat,Left-arm fast-medium
190,KD Shah,Hong Kong,Batting Allrounder,Left Handed Bat,Right-arm offbreak
191,TP Ura,Papua New Guinea,WK-Batsman,Right Handed Bat,null
192,VV Morea,Papua New Guinea,Batting Allrounder,Right Handed Bat,Right-arm medium
193,L Siaka,Papua New Guinea,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
194,A Vala,Papua New Guinea,Batting Allrounder,Left Handed Bat,Right-arm offbreak
195,D Bau,Papua New Guinea,--,WK-Batsman,Right Handed Bat
196,MD Dai,Papua New Guinea,Batsman,Right Handed Bat,Right-arm offbreak
197,CA Soper,Papua New Guinea,Bowler,Right hand Bat,Right arm Medium fast
198,WT Gavera,Papua New Guinea,Bowling Allrounder,Right Handed Bat,Right-arm fast
199,JJ Atkinson,Hong Kong,WK-Batsman,Right Handed Bat,null
200,K Christie,Hong Kong,Batsman,Right Handed Bat,Right-arm offbreak
201,JB Reva,Papua New Guinea,Bowling Allrounder,Right Handed Bat,Right-arm medium
202,SW Billings,England,WK-Batsman,Right Handed Bat,null
203,ST Finn,England,Bowler,Right Handed Bat,Right-arm fast-medium
204,KC Brathwaite,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
205,E Lewis,West Indies,Batsman,Left Handed Bat,null
206,KOA Powell,West Indies,Batsman,Left Handed Bat,Right-arm medium
207,SD Hope,West Indies,WK-Batsman,Right Handed Bat,null
208,JN Mohammed,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
209,JL Carter,West Indies,Batting Allrounder,Left Handed Bat,Right-arm medium
210,JO Holder,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
211,CR Brathwaite,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
212,AR Nurse,West Indies,Bowler,Right Handed Bat,Right-arm offbreak
213,ST Gabriel,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
214,AS Joseph,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
215,DJ Willey,England,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
216,EC Joyce,Ireland,Batsman,Left Handed Bat,Right-arm medium
217,PR Stirling,Ireland,Batting Allrounder,Right Handed Bat,Right-arm offbreak
218,WTS Porterfield,Ireland,Batsman,Left Handed Bat,Right-arm offbreak
219,A Balbirnie,Ireland,Batsman,Right Handed Bat,Right-arm offbreak
220,NJ O'Brien,Ireland,WK-Batsman,Left Handed Bat,null
221,GC Wilson,Ireland,WK-Batsman,Right Handed Bat,null
