,Name,Team,Position,Batting,Bowling
388,Muhammad Usman,United Arab Emirates,Batsman,Left Handed Bat,null
389,Adnan Mufti,United Arab Emirates,Batsman,Left Handed Bat,Right-arm fast-medium
390,Ahmed Raza,United Arab Emirates,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
391,Imran Haider,United Arab Emirates,Bowler,Right Handed Bat,Right-arm legbreak
392,Zahoor Khan,United Arab Emirates,Bowler,Right Handed Bat,Right-arm fast-medium
393,TD Paine,Australia,WK-Batsman,Right Handed Bat,Right-arm medium
394,AJ Tye,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
395,CL White,Australia,Batsman,Right Handed Bat,Right-arm legbreak
396,AT Carey,Australia,WK-Batsman,Left Handed Bat,null
397,JA Richardson,Australia,Bowler,Right Handed Bat,Right-arm fast
398,DB Sharma,India,Bowler,Right Handed Bat,Right-arm fast-medium
399,MR Meshram,India,Middle order Batter,Right hand Bat,Right arm Medium
400,DP Vaidya,India,Bowler,Right Handed Bat,Right-arm fast-medium
401,M Raj,India,Batsman,Right Handed Bat,Right-arm legbreak
402,H Kaur,India,Batting Allrounder,Right Handed Bat,Right-arm offbreak
403,V Krishnamurthy,India,Batsman,Right Handed Bat,Right-arm legbreak
404,RS Gayakwad,India,Bowler,Right Handed Bat,Left-arm orthodox
405,S Pandey,India,Bowling Allrounder,Right Handed Bat,Right-arm medium
406,S Verma,India,WK-Batsman,Right Handed Bat,null
407,E Bisht,India,Bowler,Left Handed Bat,Left-arm orthodox
408,SK Yadav,India,Batsman,Right Handed Bat,Right-arm offbreak
409,M Shehani,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
410,Rabiya Shah,Pakistan,WK-Batsman,Left Handed Bat,Right-arm offbreak
411,Nashra Sandhu,Pakistan,Bowler,Right Handed Bat,Left-arm orthodox
412,Ghulam Fatima,Pakistan,Bowler,Right Handed Bat,Right-arm legbreak
413,L Wolvaardt,South Africa,Batsman,Right Handed Bat,null
414,T Chetty,South Africa,WK-Batsman,Right Handed Bat,null
415,S Ismail,South Africa,Bowler,Left Handed Bat,Right-arm fast-medium
416,MV Waldron,Ireland,WK-Batsman,Right Handed Bat,null
417,CNIM Joyce,Ireland,Batsman,Right Handed Bat,Right-arm legbreak
418,KJ Garth,Ireland,Batsman,Right Handed Bat,Right-arm medium
419,IMHC Joyce,Ireland,Batsman,Left Handed Bat,Right-arm medium
420,GH Lewis,Ireland,Batsman,Right Handed Bat,Right-arm legbreak
421,CMA Shillington,Ireland,Batsman,Right Handed Bat,Right-arm offbreak
422,RA Lewis,Ireland,Bowler,Right Handed Bat,Right-arm fast-medium
423,CJ Metcalfe,Ireland,Bowler,Left Handed Bat,Right-arm legbreak
424,MF Kendal,Ireland,WK-Batsman,Left Handed Bat,null
425,Sanjida Islam,Bangladesh,Batsman,Right Handed Bat,null
426,Aiman Anwer,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
427,MDT Kamini,India,Batsman,Left Handed Bat,Right-arm legbreak
428,Poonam Yadav,India,Bowler,Right Handed Bat,Right-arm legbreak
429,SM Kavanagh,Ireland,Batsman,Right Handed Bat,Right-arm medium
430,AJ Kenealy,Ireland,Bowler,Right Handed Bat,Right-arm medium
431,Suraiya Azmin,Bangladesh,Bowler,Right Handed Bat,Right-arm medium
432,LK O'Reilly,Ireland,Bowler,Right Handed Bat,Right-arm medium
433,Liton Das,Bangladesh,WK-Batsman,Right Handed Bat,null
434,Mohammad Saifuddin,Bangladesh,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
435,D Paterson,South Africa,Bowler,Right Handed Bat,Right-arm fast
436,T Bavuma,South Africa,Batsman,Right Handed Bat,Right-arm medium
437,AK Markram,South Africa,Batsman,Right Handed Bat,Right-arm offbreak
438,PWA Mulder,South Africa,Bowling Allrounder,Right Handed Bat,Right-arm medium
439,Kamran Akmal,Pakistan,WK-Batsman,Right Handed Bat,null
440,CAK Walton,West Indies,WK-Batsman,Right Handed Bat,null
441,V Permaul,West Indies,Bowler,Right Handed Bat,Left-arm orthodox
442,C McAuslan,Hong Kong,--,Right Handed Bat,Right-arm fast-medium
443,Ehsan Nawaz,Hong Kong,Bowler,Right Handed Bat,Right-arm fast-medium
444,JH Davey,Scotland,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
445,HG Munsey,Scotland,Batsman,Left Handed Bat,null
446,Qadeer Ahmed,United Arab Emirates,Bowler,Right Handed Bat,Right-arm medium
447,Amjad Javed,United Arab Emirates,Bowling Allrounder,Right Handed Bat,Right-arm medium
448,SF Mire,Zimbabwe,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
449,RP Burl,Zimbabwe,Batting Allrounder,Left Handed Bat,Right-arm legbreak
450,R Ngarava,Zimbabwe,Bowler,Left Handed Bat,Left-arm fast-medium
451,Ihsanullah,Afghanistan,Batsman,Right Handed Bat,null
452,Karim Janat,Afghanistan,Bowler,Right Handed Bat,Right-arm medium
453,TAM Siriwardana,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
454,PADLR Sandakan,Sri Lanka,Bowler,Right Handed Bat,Left-arm chinaman
455,CBRLS Kumara,Sri Lanka,Bowler,Left Handed Bat,Right-arm fast-medium
456,MDK Perera,Sri Lanka,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
457,HASD Siriwardene,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
458,HHC Gunaratne,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm medium
459,JL Gunn,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
460,A Shrubsole,England,Bowler,Right Handed Bat,Right-arm medium
461,PG Raut,India,Batsman,Right Handed Bat,Right-arm offbreak
462,S Mandhana,India,Batsman,Left Handed Bat,Right-arm offbreak
463,J Goswami,India,Bowler,Right Handed Bat,Right-arm medium
464,Kainat Imtiaz,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
465,HK Matthews,West Indies,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
466,F Walters,West Indies,Batting Allrounder,Left Handed Bat,Left-arm medium
467,CN Nation,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
468,SR Taylor,West Indies,Batting Allrounder,Right Handed Bat,Right-arm offbreak
469,DJS Dottin,West Indies,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
470,SF Daley,West Indies,Bowling Allrounder,Left Handed Bat,Left-arm medium
471,A Mohammed,West Indies,Batsman,Right Handed Bat,Right-arm offbreak
472,ASS Fletcher,West Indies,Bowler,Right hand Bat,Legbreak
473,SC Selman,West Indies,Bowler,Right Handed Bat,Right-arm medium
474,Kyshona A Knight,West Indies,Batsman,Left Handed Bat,Right-arm medium
475,H Madavi,Sri Lanka,Batsman,Left Handed Bat,Right-arm medium
476,Q Joseph,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
477,SE Aley,Australia,--,Right Handed Bat,Right-arm medium
478,Marina Iqbal,Pakistan,Batsman,Left Handed Bat,null
479,ML Green,New Zealand,Batsman,Right Handed Bat,Right-arm offbreak
480,LM Kasperek,New Zealand,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
481,Kycia A Knight,West Indies,WK-Batsman,Left Handed Bat,null
482,TM McGrath,Australia,--,Right Handed Bat,Right-arm medium
483,S Ecclestone,England,Bowler,Right Handed Bat,Left-arm orthodox
484,JNT Vare,Papua New Guinea,Wicketkeeper Batter,Right hand Bat,null
485,L Paul,Ireland,Batsman,Right Handed Bat,Right-arm medium
486,J Gray,Ireland,Batsman,Right Handed Bat,Right-arm legbreak
487,LC Boylan,Ireland,WT20I Matches,Explore Statsguru Analysis,WODI Matches
488,Rachel Delaney,Ireland,Bowler,Right Handed Bat,Right-arm offbreak
489,A Beggs,Ireland,Batsman,Right Handed Bat,Right-arm medium
490,R Ntozakhe,South Africa,Bowler,Right Handed Bat,Right-arm offbreak
491,R Stokell,Ireland,Bowler,Right Handed Bat,Right-arm medium
492,L Little,Ireland,Bowler,Right Handed Bat,Left-arm fast
493,S MacMahon,Ireland,Bowler,Right Handed Bat,Right-arm medium
494,Afsar Zazai,Afghanistan,WK-Batsman,Right Handed Bat,null
495,RL Chase,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
496,Kuldeep Yadav,India,Bowler,Left Handed Bat,Left-arm chinaman
497,KD Karthik,India,WK-Batsman,Right Handed Bat,null
498,Mohammed Shami,India,Bowler,Right Handed Bat,Right-arm fast-medium
499,LD Madushanka,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
500,MA Aponso,Sri Lanka,Bowler,Right Handed Bat,Left-arm orthodox
501,A Dananjaya,Sri Lanka,Bowler,Left Handed Bat,Right-arm offbreak
502,PWH de Silva,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
503,PVD Chameera,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast
504,AM Fernando,Sri Lanka,Batsman,Right Handed Bat,Right-arm fast-medium
505,MVT Fernando,Sri Lanka,Bowler,Right Handed Bat,Left-arm fast-medium
506,HDRL Thirimanne,Sri Lanka,Batsman,Left Handed Bat,Right-arm medium
507,SN Thakur,India,Bowler,Right Handed Bat,Right-arm fast-medium
508,EMDY Munaweera,Sri Lanka,Batsman,Right Handed Bat,Right-arm offbreak
509,PM Pushpakumara,Sri Lanka,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
510,MS Chapman,New Zealand,Batting Allrounder,Left Handed Bat,Left-arm orthodox
511,SO Hetmyer,West Indies,Batsman,Left Handed Bat,null
512,RR Beaton,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
513,TD Astle,New Zealand,Bowling Allrounder,Right Handed Bat,Right-arm legbreak
514,SS Cottrell,West Indies,Bowler,Right Handed Bat,Left-arm fast-medium
515,NO Miller,West Indies,Bowler,Right Handed Bat,Left-arm orthodox
516,Imam-ul-Haq,Pakistan,Batsman,Left Handed Bat,null
517,Haris Sohail,Pakistan,Batting Allrounder,Left Handed Bat,Left-arm orthodox
518,Umar Amin,Pakistan,Batting Allrounder,Left Handed Bat,Right-arm medium
519,Aamer Yamin,Pakistan,Bowler,Right Handed Bat,Right-arm medium
520,HWR Cartwright,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
521,NM Coulter-Nile,Australia,Bowler,Right Handed Bat,Right-arm fast
522,AC Agar,Australia,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
523,KW Richardson,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
524,MG Neser,Australia,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
525,DJM Short,Australia,Batsman,Left Handed Bat,Left-arm chinaman
526,NM Lyon,Australia,Bowler,Right Handed Bat,Right-arm offbreak
527,C Overton,England,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
528,SM Curran,England,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
529,SK Raina,India,Batsman,Left Handed Bat,Right-arm offbreak
530,S Kaul,India,Bowler,Right Handed Bat,Right-arm fast-medium
531,PLS Gamage,Sri Lanka,Bowler,Right Handed Bat,Right-arm medium
532,S Samarawickrama,Sri Lanka,WK-Batsman,Right Handed Bat,null
533,Usman Shinwari,Pakistan,Bowler,Right Handed Bat,Left-arm fast-medium
534,K Zondo,South Africa,Batsman,Right Handed Bat,Right-arm offbreak
535,H Klaasen,South Africa,WK-Batsman,Right Handed Bat,Right-arm offbreak
536,L Ngidi,South Africa,Bowler,Right Handed Bat,Right-arm fast
537,SS Iyer,India,Batsman,Right Handed Bat,Right-arm legbreak
538,Washington Sundar,India,Batting Allrounder,Left Handed Bat,Right-arm offbreak
539,Sidra Ameen,Pakistan,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
540,P Vastrakar,India,Bowling Allrounder,Right Handed Bat,Right-arm medium
541,SS McKechnie,Hong Kong,WK-Batsman,Right Handed Bat,null
542,K Doriga,Papua New Guinea,--,WK-Batsman,Right Handed Bat
543,D Ravu,Papua New Guinea,Bowler,Right Handed Bat,Right-arm fast-medium
544,Nasir Jamal,Afghanistan,Batsman,Right Handed Bat,Right-arm legbreak
545,Mujeeb Ur Rahman,Afghanistan,Bowler,Right Handed Bat,Right-arm offbreak
546,SW Poynter,Ireland,WK-Batsman,Right Handed Bat,null
547,WB Rankin,Ireland,Bowler,Left Handed Bat,Right-arm fast-medium
548,KL George,England,WK-Batsman,Right Handed Bat,null
549,KE Broadmore,New Zealand,Bowler,Right hand Bat,Right arm Medium
550,JM Watkin,New Zealand,Batting Allrounder,Right Handed Bat,Right-arm offbreak
551,KL Cross,England,WK-Batsman,Right Handed Bat,null
552,B Bezuidenhout,New Zealand,Top order Batter,Right hand Bat,null
553,HNK Jensen,New Zealand,Bowling Allrounder,Right Handed Bat,Right-arm medium
554,BRM Taylor,Zimbabwe,WK-Batsman,Right Handed Bat,Right-arm offbreak
555,KM Jarvis,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast
556,B Muzarabani,Zimbabwe,Bowler,Right Handed Bat,Right-arm fast-medium
557,Anamul Haque,Bangladesh,--,WK-Batsman,Right Handed Bat
558,Mohammad Mithun,Bangladesh,--,WK-Batsman,Right Handed Bat
559,JI Rodrigues,India,Batsman,Right Handed Bat,Right-arm offbreak
560,NJ Carey,Australia,WK-Batsman,Left Handed Bat,null
561,Mohammad Boota,United Arab Emirates,Batsman,Right Handed Bat,Right-arm medium
562,MA Jones,Scotland,Batsman,Right Handed Bat,Right-arm offbreak
563,TB Sole,Scotland,T20 Matches,T20I Matches,List A Matches
564,SG Whittingham,Scotland,Bowler,Right Handed Bat,Right-arm fast-medium
565,SJ Cameron,Scotland,Bowler,Right Handed Bat,Left-arm medium
566,CJA Amini,Papua New Guinea,Batting Allrounder,Left Handed Bat,Right-arm legbreak
567,KAJ Roach,West Indies,Bowler,Right Handed Bat,Right-arm fast
568,C Zhuwao,Zimbabwe,Batting Allrounder,Left Handed Bat,Right-arm legbreak
569,Waqas Barkat,Hong Kong,Batting Allrounder,Right Handed Bat,Right-arm legbreak
570,KMA Paul,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
571,J Kila,Papua New Guinea,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
572,Simandeep Singh,Hong Kong,--,Batsman,Right Handed Bat
573,LR Down,New Zealand,Batsman,Right Handed Bat,Right-arm legbreak
574,B Cooper,West Indies,Bowling Allrounder,Left Handed Bat,Right-arm medium
575,TD Smartt,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm medium
576,Muneeba Ali,Pakistan,WK-Batsman,Left Handed Bat,null
577,Natalia Pervaiz,Pakistan,--,Right Handed Bat,Right-arm medium
578,RS Vandort,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm medium
579,LA Dawson,England,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
580,OP Stone,England,Bowler,Right Handed Bat,Right-arm fast
581,CAK Rajitha,Sri Lanka,Bowler,Right Handed Bat,Right-arm fast-medium
582,NGRP Jayasuriya,Sri Lanka,Bowler,Right Handed Bat,Left-arm orthodox
583,RR Hendricks,South Africa,Batsman,Right Handed Bat,Right-arm medium
584,CJ Dala,South Africa,Bowler,Right Handed Bat,Right-arm medium
585,Asif Ali,Pakistan,Batsman,Right Handed Bat,Right-arm medium
586,R Murray,Zimbabwe,--,Right Handed Bat,Right-arm legbreak
587,LN Roche,Zimbabwe,Middle order Batter,Right hand Bat,Right arm Offbreak
588,WP Masakadza,Zimbabwe,Bowler,Left Handed Bat,Left-arm orthodox
589,PS Masvaure,Zimbabwe,Batsman,Left Handed Bat,Left-arm fast-medium
590,Yasir Shah,Pakistan,Bowler,Right Handed Bat,Right-arm legbreak
591,B Mavuta,Zimbabwe,Bowler,Right Handed Bat,Right-arm legbreak
592,D Elgar,South Africa,Batsman,Left Handed Bat,Left-arm orthodox
593,C Jonker,South Africa,Batsman,Right Handed Bat,Right-arm fast-medium
594,DW Steyn,South Africa,Bowler,Right Handed Bat,Right-arm fast
595,HE van der Dussen,South Africa,Batsman,Right Handed Bat,Right-arm legbreak
596,D Olivier,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
597,Hussain Talat,Pakistan,Batting Allrounder,Left Handed Bat,Right-arm medium
598,Shaheen Shah Afridi,Pakistan,Bowler,Left Handed Bat,Left-arm fast-medium
599,BE Hendricks,South Africa,Bowler,Left Handed Bat,Left-arm fast-medium
600,BOP Fernando,Sri Lanka,Batsman,Right Handed Bat,Right-arm legbreak
601,WIA Fernando,Sri Lanka,Batsman,Right Handed Bat,Right-arm fast-medium
602,PHKD Mendis,Sri Lanka,Batting Allrounder,Left Handed Bat,Right-arm offbreak
603,I Udana,Sri Lanka,Bowling Allrounder,Right Handed Bat,Left-arm fast-medium
604,PARP Perera,Sri Lanka,Batting Allrounder,Right Handed Bat,Right-arm offbreak
605,AK Perera,Sri Lanka,Batting Allrounder,Right Handed Bat,Left-arm orthodox
606,Murshida Khatun,Bangladesh,--,Batsman,Left Handed Bat
607,Jannatul Ferdus,Bangladesh,Batsman,Right Handed Bat,Right-arm offbreak
608,Z Mali,South Africa,--,Left Handed Bat,Left-arm orthodox
609,Shamima Sultana,Bangladesh,WK-Batsman,Right Handed Bat,null
610,S Mostary,Bangladesh,Bowling Allrounder,Right Handed Bat,Right-arm medium
611,JC Archer,England,Bowler,Right Handed Bat,Right-arm fast
612,N Pooran,West Indies,WK-Batsman,Left Handed Bat,Right-arm offbreak
613,AD Russell,West Indies,Bowling Allrounder,Right Handed Bat,Right-arm fast
614,FDM Karunaratne,Sri Lanka,Batsman,Left Handed Bat,Right-arm medium
615,Hazratullah,Afghanistan,Batsman,Left Handed Bat,Left-arm orthodox
616,Ikram Alikhil,Afghanistan,--,WK-Batsman,Left Handed Bat
617,Aftab Alam,Afghanistan,Bowler,Right Handed Bat,Right-arm fast-medium
618,JP Behrendorff,Australia,Bowler,Right Handed Bat,Left-arm fast-medium
619,V Shankar,India,Batting Allrounder,Right Handed Bat,Right-arm medium
620,FA Allen,West Indies,Batting Allrounder,Right Handed Bat,Left-arm orthodox
621,RR Pant,India,WK-Batsman,Left Handed Bat,null
622,RA Mair,New Zealand,Bowler,Right Handed Bat,Right-arm medium
623,DM Kimmince,Australia,Batting Allrounder,Right Handed Bat,Right-arm medium
624,PM Siddle,Australia,Bowler,Right Handed Bat,Right-arm fast-medium
625,KK Ahmed,India,Bowling Allrounder,Right Handed Bat,Left-arm chinaman
626,Mohammed Siraj,India,Bowler,Right Handed Bat,Right-arm fast-medium
627,C Murray,Ireland,--,Right Handed Bat,null
628,JL Denly,England,Batting Allrounder,Right Handed Bat,Right-arm legbreak
629,Mohammad Hasnain,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
630,Abid Ali,Pakistan,Batsman,Right Handed Bat,Right-arm legbreak
631,Nazmul Hossain Shanto,Bangladesh,Batsman,Left Handed Bat,Right-arm offbreak
632,Mominul Haque,Bangladesh,Batsman,Left Handed Bat,Left-arm orthodox
633,Nazmul Islam,Bangladesh,Bowler,Left Handed Bat,Left-arm orthodox
634,DL Chahar,India,Bowler,Right Handed Bat,Right-arm medium
635,C Hemraj,West Indies,Batting Allrounder,Left Handed Bat,Left-arm orthodox
636,Fazle Mahmud,Bangladesh,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
637,Ariful Haque,Bangladesh,Batting Allrounder,Right Handed Bat,Right-arm medium
638,Shubman Gill,India,Batsman,Right Handed Bat,Right-arm offbreak
639,TL Seifert,New Zealand,WK-Batsman,Right Handed Bat,null
640,T Bhatia,India,WK-Batsman,Right Handed Bat,null
641,D Hemalatha,India,Batsman,Right Handed Bat,Right-arm offbreak
642,Abdul Shakoor,United Arab Emirates,WK-Batsman,Right Handed Bat,null
643,G Malla,Nepal,Batsman,Right Handed Bat,null
644,SP Khakurel,Nepal,--,WK-Batsman,Right Handed Bat
645,P Khadka,Nepal,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
646,Aarif Sheikh,Nepal,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
647,Karan KC,Nepal,Bowler,Right Handed Bat,Right-arm medium
648,RK Paudel,Nepal,Batting Allrounder,Right Handed Bat,Right-arm medium
649,Sompal Kami,Nepal,Bowler,Right Handed Bat,Right-arm fast-medium
650,B Regmi,Nepal,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
651,S Lamichhane,Nepal,Bowler,Right Handed Bat,Right-arm legbreak
652,TS Sekhukhune,South Africa,Bowler,Left Handed Bat,Right-arm fast-medium
653,SA Campbelle,West Indies,WK-Batsman,Right Handed Bat,Right-arm fast-medium
654,WK Dilhari,Sri Lanka,Bowler,Right Handed Bat,Right-arm offbreak
655,L Tucker,Ireland,WK-Batsman,Right Handed Bat,null
656,MR Adair,Ireland,Bowler,Right Handed Bat,Right-arm fast
657,J Little,Ireland,Bowler,Right Handed Bat,Left-arm fast
658,DJ Malan,England,Batsman,Left Handed Bat,Right-arm legbreak
659,BT Foakes,England,WK-Batsman,Right Handed Bat,null
660,TJ Vlaeminck,Australia,Bowler,Right Handed Bat,Right-arm medium
661,BF Smith,England,Batsman,Left Handed Bat,Right-arm offbreak
662,J Cameron-Dow,Ireland,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
663,Zahir Khan,Afghanistan,Bowler,Right Handed Bat,Left-arm fast-medium
664,F Tunnicliffe,South Africa,Wicketkeeper Batter,Right hand Bat,null
665,U Thimashini,Sri Lanka,Batting Allrounder,Left Handed Bat,Left-arm orthodox
666,AJ Turner,Australia,Batting Allrounder,Right Handed Bat,Right-arm offbreak
667,SO Dowrich,West Indies,WK-Batsman,Right Handed Bat,null
668,RA Reifer,West Indies,Bowling Allrounder,Left Handed Bat,Left-arm medium
669,Abu Jayed,Bangladesh,Bowler,Right Handed Bat,Right-arm fast-medium
670,SC Getkate,Ireland,Batsman,Right Handed Bat,Right-arm fast-medium
671,B Bhandari,Nepal,WK-Batsman,Right Handed Bat,Right-arm medium
672,P Sarraf,Nepal,Batting Allrounder,Right Handed Bat,Right-arm offbreak
673,LN Rajbanshi,Nepal,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
674,CP Rizwan,United Arab Emirates,Batsman,Right Handed Bat,Right-arm legbreak
675,S Jora,Nepal,Batsman,Right Handed Bat,null
676,H Deol,India,Batting Allrounder,Right Handed Bat,Right-arm offbreak
677,Umaima Sohail,Pakistan,Batting Allrounder,Left Handed Bat,Left-arm orthodox
678,Shan Masood,Pakistan,Batsman,Left Handed Bat,Right-arm medium
679,Mohammad Abbas,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
680,XM Marshall,United States of America,Batsman,Right Handed Bat,Right-arm offbreak
681,MD Patel,United States of America,WK-Batsman,Left Handed Bat,null
682,SR Taylor,United States of America,--,Left Handed Bat,Left-arm fast-medium
683,Aaron Jones,United States of America,Batting Allrounder,Right Handed Bat,Right-arm legbreak
684,JS Malhotra,United States of America,WK-Batsman,Right Handed Bat,Right-arm legbreak
685,HR Walsh,United States of America,Bowler,Left Handed Bat,Right-arm legbreak
686,TK Patel,United States of America,Bowler,Left Handed Bat,Left-arm orthodox
687,K Gore,United States of America,Bowler,Right Handed Bat,Left-arm orthodox
688,Jasdeep Singh,United States of America,Bowling Allrounder,Right Handed Bat,Right-arm medium
689,SN Netravalkar,United States of America,Bowler,Right Handed Bat,Left-arm fast-medium
690,Ali Khan,United States of America,Bowler,Right Handed Bat,Right-arm fast-medium
691,SK Atai,Papua New Guinea,Wicketkeeper Batter,23y 8d,Left hand Bat
692,SJ Baard,Namibia,Batsman,Right Handed Bat,Right-arm fast-medium
693,K Birkenstock,Namibia,Bowling Allrounder,Left Handed Bat,Right-arm fast-medium
694,JP Kotze,Namibia,WK-Batsman,Left Handed Bat,null
695,CG Williams,Namibia,Batsman,Right Handed Bat,Right-arm medium
696,JJ Smit,Namibia,Bowling Allrounder,Right Handed Bat,Left-arm fast-medium
697,ZE Green,Namibia,WK-Batsman,Left Handed Bat,null
698,C Viljoen,Namibia,Batsman,Right Handed Bat,Right-arm medium
699,JN Frylinck,Namibia,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
700,HN Ya France,Namibia,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
701,BM Scholtz,Namibia,Bowler,Right Handed Bat,Left-arm orthodox
702,Khawar Ali,Oman,Batting Allrounder,Right Handed Bat,Right-arm legbreak
703,Aqib Ilyas,Oman,Batsman,Right Handed Bat,Right-arm offbreak
704,Mohammad Nadeem,Oman,Bowler,Right Handed Bat,Right-arm fast-medium
705,Suraj Kumar,Oman,WK-Batsman,Right Handed Bat,null
706,Sandeep Goud,Oman,Batting Allrounder,Right Handed Bat,Right-arm medium
707,Khurram Nawaz,Oman,Batsman,Right Handed Bat,null
708,Fayyaz Butt,Oman,Batsman,Right Handed Bat,Right-arm fast-medium
709,Kaleemullah,Oman,Bowler,Right Handed Bat,Right-arm medium
710,Bilal Khan,Oman,Bowler,Left Handed Bat,Left-arm fast-medium
711,Fatima Sana,Pakistan,Bowler,Right Handed Bat,Right-arm fast-medium
712,Sultan Ahmed,United Arab Emirates,Bowler,Left Handed Bat,Left-arm orthodox
713,RW Chakabva,Zimbabwe,WK-Batsman,Right Handed Bat,Right-arm offbreak
714,H Graham,Australia,--,Left Handed Bat,Right-arm medium
715,BYA Mendis,Sri Lanka,Bowler,Right Handed Bat,Right-arm offbreak
716,M Labuschagne,Australia,Batting Allrounder,Right Handed Bat,Right-arm legbreak
717,T Banton,England,WK-Batsman,Right Handed Bat,null
718,CJ Jordan,England,Bowler,Right Handed Bat,Right-arm fast-medium
719,MW Parkinson,England,Bowler,Right Handed Bat,Right-arm legbreak
720,JT Smuts,South Africa,Batting Allrounder,Right Handed Bat,Left-arm orthodox
721,L Sipamla,South Africa,Bowler,Right Handed Bat,Right-arm fast-medium
722,BC Fortuin,South Africa,Bowler,Right Handed Bat,Left-arm orthodox
723,S Mahmood,England,Bowler,Right Handed Bat,Right-arm fast-medium
724,JN Malan,South Africa,Batsman,Right Handed Bat,Right-arm legbreak
725,DM Dupavillon,South Africa,Bowler,Right Handed Bat,Right-arm fast
726,S Dube,India,Bowling Allrounder,Left Handed Bat,Right-arm medium
727,HR Walsh,West Indies,Bowler,Left Handed Bat,Right-arm legbreak
728,Navdeep Saini,India,Bowler,Right Handed Bat,Right-arm fast
729,PP Shaw,India,Batsman,Right Handed Bat,Right-arm offbreak
730,MA Agarwal,India,Batsman,Right Handed Bat,null
731,TA Blundell,New Zealand,WK-Batsman,Right Handed Bat,Right-arm offbreak
732,KA Jamieson,New Zealand,Bowler,Right Handed Bat,Right-arm fast-medium
733,JM Kerr,New Zealand,--,Right Handed Bat,Right-arm legbreak
734,A Ndlovu,Zimbabwe,Bowler,Right Handed Bat,Left-arm orthodox
735,TP Visee,Netherlands,Bowler,Left Handed Bat,Right-arm fast
736,MP O'Dowd,Netherlands,Batting Allrounder,Right Handed Bat,Right-arm offbreak
737,BN Cooper,Netherlands,Bowling Allrounder,Left Handed Bat,Right-arm medium
738,W Barresi,Netherlands,WK-Batsman,Right Handed Bat,Right-arm offbreak
739,PM Seelaar,Netherlands,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
740,SA Edwards,Netherlands,WK-Batsman,Right Handed Bat,null
741,FJ Klaassen,Netherlands,Batting Allrounder,Right Handed Bat,Left-arm medium
742,PA van Meekeren,Netherlands,Bowler,Right Handed Bat,Right-arm fast
743,VJ Kingma,Netherlands,Bowler,Right Handed Bat,Right-arm medium
744,RE van der Merwe,Netherlands,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
745,BD Glover,Netherlands,Bowler,Right Handed Bat,Right-arm fast
746,R Shepherd,West Indies,Bowler,Right Handed Bat,Right-arm fast-medium
