,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Hitting Score,Anchoring Score
68,AR White,"[57, 79, 2]","[9, 11, 1]","[2, 6, 0]","[0, 0, 0]","[32, 39, 1]","[15, 24, 2]","[27, 74, 2]","[0, 0, 0]",To be calculated,To be calculated
69,Ariful Haque,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
70,Asad Shafiq,"[378, 592, 16]","[68, 99, 3]","[85, 173, 8]","[0, 0, 0]","[131, 181, 7]","[42, 55, 2]","[142, 247, 7]","[0, 0, 0]",To be calculated,To be calculated
71,Asghar Stanikzai,"[526, 716, 18]","[56, 89, 7]","[115, 157, 4]","[0, 0, 0]","[303, 493, 13]","[127, 167, 7]","[238, 363, 9]","[0, 1, 1]",To be calculated,To be calculated
72,Asif Ali,"[168, 115, 5]","[7, 8, 1]","[18, 15, 0]","[0, 0, 0]","[44, 43, 1]","[31, 19, 2]","[5, 5, 0]","[20, 27, 0]",To be calculated,To be calculated
73,AT Carey,"[465, 592, 12]","[33, 32, 0]","[87, 114, 2]","[0, 0, 0]","[141, 134, 2]","[271, 270, 9]","[40, 50, 4]","[90, 80, 5]",To be calculated,To be calculated
74,AT Rayudu,"[519, 680, 16]","[147, 234, 1]","[39, 61, 0]","[0, 0, 0]","[217, 265, 6]","[117, 155, 1]","[138, 172, 3]","[0, 0, 0]",To be calculated,To be calculated
75,Ayasha Rahman,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
76,Ayesha Zafar,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
77,Azhar Ali,"[672, 979, 17]","[82, 96, 1]","[95, 160, 3]","[0, 0, 0]","[100, 146, 1]","[111, 127, 2]","[206, 277, 4]","[0, 0, 0]",To be calculated,To be calculated
78,B Bezuidenhout,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
79,B Bhandari,"[73, 119, 2]","[11, 21, 0]","[17, 35, 0]","[0, 0, 0]","[24, 28, 1]","[21, 28, 1]","[31, 41, 1]","[0, 0, 0]",To be calculated,To be calculated
80,B Sharki,"[4, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 0]","[9, 3, 1]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
81,BA King,"[118, 164, 3]","[34, 26, 1]","[11, 25, 1]","[0, 0, 0]","[36, 71, 3]","[18, 25, 3]","[0, 1, 1]","[0, 0, 0]",To be calculated,To be calculated
82,BA Parchment,"[47, 74, 1]","[1, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 0]","[0, 0, 0]",To be calculated,To be calculated
83,BA Stokes,"[963, 1043, 26]","[89, 124, 0]","[294, 311, 11]","[0, 0, 0]","[341, 409, 7]","[203, 190, 4]","[140, 110, 4]","[80, 78, 1]",To be calculated,To be calculated
84,Babar Azam,"[1340, 1613, 32]","[229, 233, 5]","[258, 304, 5]","[0, 0, 0]","[406, 507, 6]","[578, 619, 5]","[367, 422, 3]","[72, 85, 2]",To be calculated,To be calculated
85,Basil Hameed,"[103, 141, 4]","[14, 21, 2]","[34, 55, 3]","[13, 13, 0]","[29, 52, 3]","[43, 60, 1]","[81, 105, 2]","[0, 0, 0]",To be calculated,To be calculated
86,Batool Fatima,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
87,Bazid Khan,"[42, 72, 3]","[8, 9, 0]","[3, 13, 0]","[0, 0, 0]","[24, 36, 0]","[0, 0, 0]","[1, 22, 1]","[0, 0, 0]",To be calculated,To be calculated
88,BB McCullum,"[2138, 1973, 71]","[194, 216, 4]","[533, 597, 18]","[0, 0, 0]","[244, 323, 10]","[32, 48, 1]","[301, 371, 11]","[51, 67, 4]",To be calculated,To be calculated
89,BC Lara,"[436, 641, 19]","[93, 163, 2]","[22, 33, 1]","[9, 11, 1]","[224, 242, 6]","[57, 54, 0]","[98, 83, 1]","[53, 50, 1]",To be calculated,To be calculated
90,BF Smith,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
91,Bilal Asif,"[7, 16, 1]","[13, 9, 0]","[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 0]","[0, 0, 0]",To be calculated,To be calculated
92,Bismah Maroof,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
93,BJ Diamanti,"[7, 10, 0]","[0, 0, 0]","[6, 5, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
94,BJ Haddin,"[1257, 1452, 41]","[169, 198, 2]","[146, 182, 4]","[0, 0, 0]","[178, 265, 8]","[18, 23, 0]","[185, 296, 6]","[0, 0, 0]",To be calculated,To be calculated
95,BJ Hodge,"[133, 130, 5]","[77, 85, 2]","[7, 24, 1]","[0, 0, 0]","[83, 83, 3]","[0, 0, 0]","[8, 28, 3]","[0, 0, 0]",To be calculated,To be calculated
96,BJ Watling,"[190, 280, 8]","[13, 33, 0]","[28, 73, 1]","[0, 0, 0]","[89, 129, 2]","[8, 12, 1]","[36, 59, 1]","[0, 0, 0]",To be calculated,To be calculated
97,BKG Mendis,"[619, 866, 26]","[22, 31, 1]","[167, 219, 3]","[0, 0, 0]","[305, 282, 5]","[262, 351, 14]","[226, 257, 5]","[27, 15, 0]",To be calculated,To be calculated
98,BL Mooney,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
99,BL Morgan,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
100,BM Duckett,"[15, 33, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[34, 42, 0]","[0, 0, 0]","[30, 34, 1]","[0, 0, 0]",To be calculated,To be calculated
101,BM Halliday,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
102,BOP Fernando,"[69, 95, 1]","[0, 0, 0]","[1, 7, 0]","[0, 0, 0]","[0, 0, 0]","[6, 21, 2]","[0, 1, 1]","[0, 2, 1]",To be calculated,To be calculated
103,BR McDermott,"[41, 64, 1]","[0, 0, 0]","[20, 41, 1]","[0, 0, 0]","[37, 27, 0]","[43, 48, 0]","[11, 16, 0]","[0, 0, 0]",To be calculated,To be calculated
104,BRM Taylor,"[1448, 2236, 57]","[158, 223, 3]","[337, 571, 15]","[4, 12, 0]","[767, 871, 20]","[133, 139, 5]","[561, 822, 22]","[62, 59, 1]",To be calculated,To be calculated
105,BT Foakes,"[31, 47, 0]","[0, 0, 0]","[19, 11, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[11, 20, 0]","[0, 0, 0]",To be calculated,To be calculated
106,C de Grandhomme,"[212, 243, 9]","[4, 2, 0]","[131, 102, 3]","[1, 4, 0]","[39, 36, 1]","[105, 96, 4]","[16, 7, 0]","[5, 11, 1]",To be calculated,To be calculated
107,C Hemraj,"[66, 75, 3]","[0, 0, 0]","[1, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3, 5, 0]","[4, 3, 1]",To be calculated,To be calculated
108,C Jonker,"[16, 22, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[15, 12, 2]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
109,C Munro,"[520, 532, 20]","[37, 31, 1]","[203, 187, 11]","[0, 0, 0]","[70, 74, 1]","[59, 67, 5]","[55, 50, 2]","[15, 16, 0]",To be calculated,To be calculated
110,C Viljoen,"[0, 0, 0]","[4, 1, 0]","[6, 5, 0]","[0, 0, 0]","[1, 3, 0]","[0, 0, 0]","[1, 9, 1]","[0, 0, 0]",To be calculated,To be calculated
111,C Zhuwao,"[69, 65, 4]","[0, 0, 0]","[10, 14, 1]","[0, 0, 0]","[0, 0, 0]","[9, 8, 0]","[16, 7, 0]","[0, 0, 0]",To be calculated,To be calculated
112,CA Ingram,"[103, 139, 7]","[34, 32, 1]","[109, 183, 6]","[0, 0, 0]","[122, 153, 5]","[21, 23, 0]","[14, 19, 0]","[0, 0, 0]",To be calculated,To be calculated
113,CA Lynn,"[51, 54, 3]","[0, 0, 0]","[4, 5, 0]","[0, 0, 0]","[0, 0, 0]","[5, 11, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
114,CA Pujara,"[29, 73, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[4, 17, 2]","[0, 0, 0]",To be calculated,To be calculated
115,CAK Walton,"[4, 16, 3]","[3, 6, 1]","[34, 50, 3]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
116,CB Sole,"[10, 12, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[8, 10, 0]","[4, 10, 1]","[1, 4, 1]","[0, 0, 0]",To be calculated,To be calculated
117,CD Cumming,"[29, 60, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
118,CD McMillan,"[322, 391, 10]","[69, 80, 1]","[38, 56, 0]","[0, 0, 0]","[35, 59, 2]","[9, 12, 1]","[53, 63, 4]","[36, 31, 0]",To be calculated,To be calculated
119,CD Wallace,"[106, 125, 6]","[4, 1, 0]","[77, 45, 1]","[0, 0, 0]","[23, 26, 1]","[34, 59, 2]","[71, 94, 2]","[0, 0, 0]",To be calculated,To be calculated
120,CE Dean,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
121,CG Williams,"[78, 84, 1]","[53, 37, 2]","[32, 40, 0]","[0, 0, 0]","[39, 46, 1]","[79, 107, 3]","[17, 22, 1]","[0, 0, 0]",To be calculated,To be calculated
122,CH Gayle,"[2582, 3018, 97]","[265, 334, 6]","[368, 533, 20]","[0, 0, 0]","[557, 595, 12]","[192, 141, 3]","[246, 317, 1]","[0, 5, 1]",To be calculated,To be calculated
123,CJ Anderson,"[324, 307, 13]","[22, 18, 1]","[61, 87, 3]","[0, 0, 0]","[169, 138, 6]","[28, 48, 1]","[91, 78, 4]","[0, 0, 0]",To be calculated,To be calculated
124,CJ Chibhabha,"[784, 1206, 34]","[115, 163, 2]","[294, 474, 11]","[0, 0, 0]","[141, 267, 10]","[117, 149, 5]","[75, 143, 9]","[0, 0, 0]",To be calculated,To be calculated
125,CJ Ferguson,"[200, 235, 9]","[17, 27, 0]","[13, 16, 0]","[0, 0, 0]","[98, 155, 1]","[12, 13, 0]","[20, 28, 0]","[0, 0, 0]",To be calculated,To be calculated
126,CJA Amini,"[146, 176, 6]","[22, 27, 1]","[19, 37, 1]","[0, 0, 0]","[95, 146, 4]","[72, 111, 4]","[76, 130, 3]","[0, 0, 0]",To be calculated,To be calculated
127,CJO Smith,"[65, 90, 1]","[26, 23, 1]","[0, 0, 0]","[0, 0, 0]","[17, 32, 0]","[2, 6, 1]","[0, 0, 0]","[10, 18, 1]",To be calculated,To be calculated
128,CK Coventry,"[157, 178, 8]","[35, 50, 1]","[58, 63, 1]","[0, 0, 0]","[69, 67, 1]","[13, 11, 0]","[172, 176, 2]","[0, 0, 0]",To be calculated,To be calculated
129,CK Kapugedera,"[441, 609, 27]","[87, 135, 3]","[146, 223, 7]","[0, 0, 0]","[181, 238, 3]","[28, 41, 1]","[202, 292, 8]","[16, 20, 0]",To be calculated,To be calculated
130,CL Cairns,"[130, 131, 6]","[46, 29, 0]","[2, 8, 1]","[0, 0, 0]","[54, 70, 3]","[62, 50, 1]","[44, 66, 0]","[19, 16, 1]",To be calculated,To be calculated
131,CL White,"[656, 729, 23]","[121, 194, 3]","[109, 112, 3]","[0, 0, 0]","[221, 314, 7]","[38, 44, 0]","[167, 268, 4]","[0, 0, 0]",To be calculated,To be calculated
132,CM Beggs,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
