,Name,Right arm Fast,Right arm Medium,Left arm Fast,Left arm Medium,Right arm off-spinner,Right arm Legbreak,Left arm Orthodox,Left arm Chinaman,Hitting Score,Anchoring Score
268,HK Matthews,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
269,HM Amla,"[2609, 3136, 70]","[399, 418, 8]","[910, 1075, 18]","[0, 0, 0]","[815, 903, 18]","[334, 367, 4]","[454, 540, 5]","[34, 52, 1]",To be calculated,To be calculated
270,HM Nicholls,"[585, 690, 17]","[43, 47, 1]","[148, 192, 5]","[22, 37, 1]","[189, 223, 3]","[121, 161, 2]","[18, 28, 0]","[41, 46, 1]",To be calculated,To be calculated
271,HM Rowe,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
272,HM Tiffen,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
273,HMD Rasangika,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
274,HML Madushani,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
275,HP Rinke,"[22, 46, 4]","[1, 3, 0]","[0, 2, 1]","[0, 0, 0]","[3, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
276,Hussain Talat,"[1, 10, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 4, 1]",To be calculated,To be calculated
277,HWR Cartwright,"[2, 23, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
278,I Kaia,"[33, 68, 2]","[23, 45, 3]","[86, 157, 2]","[0, 0, 0]","[56, 64, 2]","[14, 19, 0]","[0, 2, 1]","[0, 0, 0]",To be calculated,To be calculated
279,IA Nicolson,"[0, 3, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
280,Ibrahim Zadran,"[92, 150, 3]","[0, 0, 0]","[3, 11, 1]","[0, 0, 0]","[15, 24, 0]","[20, 19, 0]","[2, 2, 0]","[0, 0, 0]",To be calculated,To be calculated
281,ID Blackwell,"[21, 31, 4]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[25, 39, 1]","[2, 2, 0]","[6, 9, 0]","[0, 0, 0]",To be calculated,To be calculated
282,Iftikhar Ahmed,"[59, 44, 2]","[0, 0, 0]","[4, 12, 0]","[0, 0, 0]","[13, 25, 1]","[2, 5, 0]","[7, 8, 0]","[0, 0, 0]",To be calculated,To be calculated
283,Iftikhar Anjum,"[107, 177, 9]","[12, 10, 0]","[13, 11, 0]","[0, 0, 0]","[18, 46, 3]","[0, 0, 0]","[3, 11, 0]","[0, 0, 0]",To be calculated,To be calculated
284,Ihsanullah,"[141, 223, 6]","[0, 0, 0]","[9, 26, 1]","[0, 0, 0]","[35, 44, 1]","[36, 28, 1]","[21, 31, 0]","[0, 0, 0]",To be calculated,To be calculated
285,IJL Trott,"[907, 1246, 18]","[52, 66, 0]","[184, 254, 3]","[0, 0, 0]","[273, 352, 6]","[3, 13, 1]","[231, 310, 4]","[0, 0, 0]",To be calculated,To be calculated
286,Imam-ul-Haq,"[848, 1113, 15]","[106, 140, 4]","[209, 302, 3]","[0, 0, 0]","[192, 254, 6]","[243, 273, 5]","[148, 174, 6]","[47, 47, 1]",To be calculated,To be calculated
287,IMHC Joyce,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
288,Imran Farhat,"[492, 835, 20]","[58, 86, 1]","[98, 189, 3]","[0, 0, 0]","[114, 133, 6]","[33, 41, 1]","[51, 60, 1]","[0, 0, 0]",To be calculated,To be calculated
289,Imran Nazir,"[197, 235, 7]","[35, 23, 1]","[37, 32, 2]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[25, 14, 0]","[0, 0, 0]",To be calculated,To be calculated
290,Imrul Kayes,"[817, 1120, 20]","[176, 251, 6]","[137, 167, 5]","[0, 0, 0]","[202, 333, 6]","[117, 161, 4]","[137, 189, 3]","[0, 0, 0]",To be calculated,To be calculated
291,Inzamam-ul-Haq,"[602, 799, 15]","[89, 138, 4]","[143, 200, 3]","[0, 0, 0]","[219, 249, 5]","[21, 30, 0]","[172, 207, 2]","[11, 11, 1]",To be calculated,To be calculated
292,IR Bell,"[2311, 3156, 67]","[166, 187, 1]","[533, 655, 10]","[0, 0, 0]","[394, 526, 6]","[20, 21, 1]","[228, 283, 4]","[25, 33, 0]",To be calculated,To be calculated
293,Ishan Kishan,"[23, 46, 1]","[12, 11, 1]","[6, 4, 0]","[0, 0, 0]","[36, 31, 0]","[0, 0, 0]","[21, 31, 1]","[10, 14, 1]",To be calculated,To be calculated
294,J Blackwood,"[15, 25, 1]","[0, 0, 0]","[2, 6, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
295,J Charles,"[514, 627, 17]","[82, 62, 1]","[131, 230, 12]","[0, 0, 0]","[112, 125, 0]","[13, 27, 2]","[62, 68, 3]","[4, 9, 1]",To be calculated,To be calculated
296,J Gray,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
297,J Louw,"[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[16, 4, 0]","[0, 0, 0]",To be calculated,To be calculated
298,J Mubarak,"[173, 249, 6]","[21, 20, 1]","[31, 45, 3]","[0, 0, 0]","[42, 88, 3]","[0, 0, 0]","[55, 75, 1]","[0, 0, 0]",To be calculated,To be calculated
299,J Sharma,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
300,JA Burns,"[64, 87, 2]","[29, 22, 1]","[0, 3, 0]","[0, 0, 0]","[8, 10, 0]","[7, 7, 1]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
301,JA Morkel,"[206, 192, 6]","[82, 73, 4]","[54, 43, 4]","[0, 0, 0]","[59, 71, 4]","[13, 10, 0]","[41, 63, 2]","[0, 0, 0]",To be calculated,To be calculated
302,JA Rudolph,"[132, 216, 2]","[47, 66, 1]","[21, 35, 0]","[0, 0, 0]","[129, 206, 4]","[20, 24, 2]","[34, 45, 0]","[5, 8, 0]",To be calculated,To be calculated
303,JAH Marshall,"[11, 28, 4]","[7, 5, 0]","[1, 13, 1]","[0, 0, 0]","[3, 12, 1]","[0, 0, 0]","[0, 0, 0]","[7, 8, 0]",To be calculated,To be calculated
304,Jannatul Ferdus,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
305,Javed Ahmadi,"[298, 456, 13]","[44, 54, 3]","[8, 19, 3]","[0, 0, 0]","[90, 132, 3]","[31, 31, 0]","[49, 68, 1]","[1, 3, 0]",To be calculated,To be calculated
306,Javed Omar,"[177, 355, 7]","[8, 9, 1]","[24, 76, 1]","[0, 0, 0]","[36, 44, 0]","[16, 23, 0]","[35, 49, 2]","[4, 8, 0]",To be calculated,To be calculated
307,Javeria Khan,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
308,Javeria Rauf,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
309,JC Buttler,"[1517, 1308, 44]","[140, 123, 2]","[461, 351, 6]","[4, 6, 0]","[362, 310, 4]","[279, 261, 8]","[166, 170, 2]","[19, 21, 3]",To be calculated,To be calculated
310,JC Carroll,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
311,JD Ryder,"[604, 555, 15]","[18, 22, 0]","[198, 236, 4]","[0, 0, 0]","[91, 92, 4]","[7, 18, 1]","[58, 63, 3]","[0, 0, 0]",To be calculated,To be calculated
312,JDS Neesham,"[514, 466, 22]","[20, 17, 0]","[137, 141, 4]","[0, 0, 0]","[147, 206, 7]","[82, 116, 3]","[42, 64, 2]","[16, 25, 0]",To be calculated,To be calculated
313,JE Root,"[2055, 2532, 50]","[159, 181, 3]","[477, 582, 11]","[0, 0, 0]","[635, 723, 4]","[474, 497, 6]","[268, 343, 4]","[129, 133, 2]",To be calculated,To be calculated
314,JF Mooney,"[233, 261, 16]","[41, 46, 0]","[6, 14, 1]","[0, 0, 0]","[61, 73, 0]","[15, 27, 0]","[44, 45, 5]","[4, 23, 1]",To be calculated,To be calculated
315,JH Kallis,"[1444, 1874, 42]","[277, 340, 6]","[326, 462, 8]","[0, 0, 0]","[542, 740, 4]","[81, 107, 2]","[410, 565, 9]","[17, 20, 1]",To be calculated,To be calculated
316,JI de Villiers,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
317,JI Rodrigues,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
318,JJ Roy,"[1647, 1682, 39]","[119, 110, 6]","[512, 518, 16]","[25, 32, 0]","[268, 209, 6]","[225, 198, 3]","[144, 121, 3]","[47, 43, 3]",To be calculated,To be calculated
319,JJ van der Wath,"[46, 33, 1]","[10, 13, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 2]","[0, 1, 0]","[0, 0, 0]","[0, 2, 1]",To be calculated,To be calculated
320,JL Carter,"[137, 245, 6]","[26, 32, 0]","[61, 74, 3]","[0, 0, 0]","[110, 117, 3]","[80, 99, 2]","[47, 87, 1]","[3, 7, 0]",To be calculated,To be calculated
321,JL Denly,"[179, 282, 7]","[0, 0, 0]","[61, 83, 3]","[0, 0, 0]","[23, 34, 0]","[0, 0, 0]","[12, 27, 0]","[46, 50, 0]",To be calculated,To be calculated
322,JL Hunter,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
323,JL Ontong,"[54, 59, 3]","[10, 14, 0]","[18, 26, 0]","[0, 0, 0]","[0, 0, 0]","[0, 5, 0]","[6, 13, 1]","[0, 0, 0]",To be calculated,To be calculated
324,JM Bairstow,"[1340, 1389, 30]","[160, 124, 1]","[451, 468, 14]","[0, 0, 0]","[221, 224, 4]","[229, 188, 5]","[117, 131, 3]","[111, 91, 3]",To be calculated,To be calculated
325,JM Fields,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
326,JM How,"[464, 667, 11]","[15, 16, 0]","[127, 221, 8]","[0, 0, 0]","[25, 49, 1]","[0, 0, 0]","[42, 68, 3]","[5, 8, 0]",To be calculated,To be calculated
327,JM Vince,"[231, 244, 6]","[32, 36, 2]","[58, 65, 3]","[0, 0, 0]","[23, 28, 1]","[23, 18, 0]","[30, 33, 0]","[0, 0, 0]",To be calculated,To be calculated
328,JM Watkin,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
329,JN Hamilton,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[1, 2, 0]","[0, 0, 0]",To be calculated,To be calculated
330,JN Malan,"[298, 328, 4]","[81, 91, 1]","[146, 179, 3]","[5, 8, 1]","[113, 142, 2]","[75, 94, 0]","[96, 105, 2]","[0, 0, 0]",To be calculated,To be calculated
331,JN Mohammed,"[180, 277, 9]","[12, 11, 0]","[85, 78, 3]","[0, 0, 0]","[100, 142, 2]","[61, 91, 6]","[23, 66, 3]","[36, 57, 1]",To be calculated,To be calculated
332,JNT Vare,"[11, 15, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[9, 11, 0]","[3, 11, 2]","[1, 11, 1]","[0, 0, 0]",To be calculated,To be calculated
333,Joginder Sharma,"[5, 2, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
334,JP Duminy,"[1530, 1695, 38]","[316, 342, 3]","[377, 461, 18]","[0, 0, 0]","[705, 951, 24]","[214, 241, 9]","[372, 516, 4]","[66, 83, 3]",To be calculated,To be calculated
335,JP Inglis,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
336,JP Kotze,"[21, 14, 1]","[10, 12, 0]","[18, 30, 0]","[0, 0, 0]","[36, 50, 3]","[9, 18, 0]","[9, 14, 1]","[0, 0, 0]",To be calculated,To be calculated
337,JS Patel,"[22, 44, 1]","[4, 3, 1]","[9, 13, 1]","[0, 0, 0]","[27, 51, 2]","[0, 2, 1]","[16, 17, 0]","[1, 1, 0]",To be calculated,To be calculated
338,JT Smuts,"[80, 109, 2]","[0, 0, 0]","[2, 6, 0]","[0, 0, 0]","[7, 14, 0]","[76, 84, 2]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
339,Junaid Siddique,"[294, 425, 16]","[113, 158, 4]","[6, 15, 1]","[0, 0, 0]","[54, 81, 2]","[17, 26, 1]","[47, 118, 3]","[0, 0, 0]",To be calculated,To be calculated
340,JWM Dalrymple,"[160, 187, 11]","[14, 29, 1]","[22, 28, 2]","[0, 0, 0]","[100, 165, 3]","[0, 0, 0]","[57, 75, 1]","[10, 15, 0]",To be calculated,To be calculated
341,K Bhurtel,"[85, 128, 3]","[14, 17, 1]","[55, 77, 1]","[0, 0, 0]","[15, 8, 0]","[25, 32, 1]","[44, 62, 5]","[0, 0, 0]",To be calculated,To be calculated
342,K Weeraratne,"[42, 41, 1]","[6, 8, 1]","[7, 6, 1]","[0, 0, 0]","[1, 4, 0]","[0, 0, 0]","[9, 9, 0]","[0, 0, 0]",To be calculated,To be calculated
343,K Zondo,"[54, 88, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[5, 10, 0]","[51, 73, 4]","[5, 9, 0]","[27, 48, 0]",To be calculated,To be calculated
344,KA Blackwell,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
345,KA Hope,"[102, 147, 5]","[0, 0, 0]","[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[7, 7, 0]","[0, 0, 0]","[0, 2, 0]",To be calculated,To be calculated
346,KA Pollard,"[779, 887, 31]","[19, 26, 1]","[162, 252, 9]","[0, 0, 0]","[235, 302, 10]","[198, 188, 8]","[216, 186, 3]","[39, 31, 0]",To be calculated,To be calculated
347,KADM Fernando,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
348,Kamran Akmal,"[1104, 1368, 43]","[117, 139, 3]","[335, 361, 16]","[0, 0, 0]","[210, 257, 5]","[7, 7, 0]","[176, 206, 5]","[5, 8, 1]",To be calculated,To be calculated
349,Kaynat Hafeez,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
350,KC Brathwaite,"[61, 115, 1]","[15, 21, 1]","[25, 40, 0]","[0, 0, 0]","[24, 53, 3]","[37, 55, 0]","[37, 56, 1]","[0, 0, 0]",To be calculated,To be calculated
351,KC Sangakkara,"[3439, 4485, 88]","[494, 566, 7]","[1001, 1411, 30]","[0, 0, 0]","[1354, 1790, 30]","[113, 126, 0]","[659, 699, 14]","[103, 134, 2]",To be calculated,To be calculated
352,KD Karthik,"[553, 834, 23]","[104, 153, 1]","[113, 167, 4]","[0, 0, 0]","[179, 203, 8]","[48, 57, 1]","[122, 187, 6]","[0, 0, 0]",To be calculated,To be calculated
353,KDK Vithanage,"[20, 16, 0]","[0, 0, 0]","[3, 6, 1]","[0, 0, 0]","[36, 40, 3]","[0, 0, 0]","[9, 18, 0]","[0, 0, 0]",To be calculated,To be calculated
354,KE Pike,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
355,KED Carroll,"[25, 31, 2]","[0, 0, 0]","[2, 7, 0]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
356,KH Pandya,"[53, 68, 1]","[2, 2, 0]","[15, 14, 0]","[0, 0, 0]","[1, 4, 0]","[6, 6, 0]","[0, 1, 1]","[17, 14, 0]",To be calculated,To be calculated
357,KH Prajapati,"[211, 231, 2]","[17, 31, 3]","[18, 22, 1]","[0, 0, 0]","[35, 63, 1]","[4, 6, 0]","[57, 104, 4]","[0, 0, 0]",To be calculated,To be calculated
358,Khaled Mashud,"[151, 248, 4]","[31, 57, 2]","[9, 42, 2]","[0, 0, 0]","[57, 104, 0]","[36, 46, 1]","[30, 58, 1]","[31, 52, 1]",To be calculated,To be calculated
359,Khalid Latif,"[87, 121, 0]","[6, 12, 1]","[0, 5, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
360,Khawar Ali,"[106, 204, 7]","[23, 57, 1]","[11, 19, 0]","[15, 26, 0]","[42, 65, 2]","[33, 71, 2]","[71, 141, 1]","[0, 0, 0]",To be calculated,To be calculated
361,Khurram Khan,"[128, 145, 3]","[0, 0, 0]","[44, 53, 1]","[0, 0, 0]","[57, 67, 0]","[22, 45, 1]","[29, 28, 1]","[0, 0, 0]",To be calculated,To be calculated
362,Khurram Manzoor,"[30, 54, 1]","[12, 14, 0]","[7, 28, 0]","[0, 0, 0]","[47, 50, 1]","[0, 0, 0]","[25, 52, 1]","[0, 0, 0]",To be calculated,To be calculated
363,Khurram Nawaz,"[1, 4, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[7, 19, 0]","[0, 0, 0]",To be calculated,To be calculated
364,Khushdil Shah,"[75, 65, 2]","[22, 10, 0]","[0, 0, 0]","[0, 0, 0]","[14, 24, 0]","[12, 25, 1]","[29, 35, 1]","[0, 0, 0]",To be calculated,To be calculated
365,KJ Coetzer,"[731, 874, 19]","[152, 165, 2]","[104, 154, 6]","[0, 0, 0]","[187, 307, 8]","[176, 223, 6]","[134, 159, 1]","[0, 0, 0]",To be calculated,To be calculated
366,KJ Garth,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
367,KJ Martin,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
368,KJ O'Brien,"[576, 682, 26]","[101, 104, 4]","[98, 87, 2]","[6, 13, 2]","[280, 296, 7]","[311, 298, 12]","[178, 275, 8]","[0, 0, 0]",To be calculated,To be calculated
369,KK Nair,"[25, 49, 1]","[11, 25, 0]","[0, 0, 0]","[0, 0, 0]","[1, 5, 1]","[8, 7, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
370,KL Cross,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
371,KL George,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
372,KL Rahul,"[536, 618, 14]","[115, 115, 1]","[133, 169, 2]","[0, 0, 0]","[127, 143, 3]","[175, 180, 4]","[66, 52, 0]","[9, 13, 0]",To be calculated,To be calculated
373,KL Rolton,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
374,KM Beams,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
375,KM Dabengwa,"[97, 148, 6]","[7, 18, 0]","[2, 2, 0]","[0, 0, 0]","[65, 107, 1]","[4, 12, 0]","[60, 108, 1]","[0, 5, 1]",To be calculated,To be calculated
376,KM Jadhav,"[514, 504, 13]","[160, 148, 3]","[83, 92, 3]","[0, 0, 0]","[157, 175, 4]","[153, 183, 2]","[40, 42, 1]","[0, 0, 0]",To be calculated,To be calculated
377,KO Meth,"[19, 27, 0]","[6, 12, 0]","[0, 0, 0]","[0, 0, 0]","[5, 12, 1]","[0, 0, 0]","[0, 2, 1]","[0, 0, 0]",To be calculated,To be calculated
378,KOA Powell,"[334, 453, 12]","[29, 33, 1]","[111, 139, 6]","[0, 0, 0]","[82, 111, 4]","[11, 8, 1]","[33, 44, 3]","[0, 0, 0]",To be calculated,To be calculated
379,KP Pietersen,"[1628, 1840, 48]","[200, 196, 1]","[361, 445, 6]","[0, 0, 0]","[361, 478, 10]","[56, 46, 0]","[327, 403, 10]","[23, 37, 0]",To be calculated,To be calculated
380,Krishna Chandran,"[33, 86, 2]","[0, 0, 0]","[4, 16, 0]","[0, 0, 0]","[4, 14, 1]","[22, 29, 0]","[6, 14, 0]","[0, 0, 0]",To be calculated,To be calculated
381,KS Lokuarachchi,"[11, 14, 1]","[7, 9, 1]","[0, 0, 0]","[0, 0, 0]","[2, 3, 0]","[0, 0, 0]","[15, 15, 1]","[4, 3, 0]",To be calculated,To be calculated
382,KS Williamson,"[1695, 2433, 39]","[189, 205, 4]","[598, 763, 15]","[0, 0, 0]","[533, 667, 12]","[520, 577, 13]","[389, 421, 6]","[71, 69, 4]",To be calculated,To be calculated
383,KT Perkins,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
384,KU Carty,"[37, 44, 1]","[4, 7, 1]","[5, 11, 0]","[0, 0, 0]","[5, 22, 0]","[0, 0, 0]","[3, 11, 0]","[0, 0, 0]",To be calculated,To be calculated
385,KY Ottley,"[7, 14, 0]","[14, 12, 0]","[1, 17, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
386,Kycia A Knight,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
387,Kyshona A Knight,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
388,L Goodall,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
389,L Lee,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
390,L Louwrens,"[11, 29, 1]","[17, 28, 2]","[2, 5, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[10, 18, 1]","[0, 0, 0]",To be calculated,To be calculated
391,L Paul,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
392,L Ronchi,"[123, 87, 5]","[0, 0, 0]","[14, 19, 2]","[0, 0, 0]","[15, 8, 0]","[7, 6, 0]","[0, 1, 1]","[0, 0, 0]",To be calculated,To be calculated
393,L Siaka,"[70, 103, 2]","[77, 85, 1]","[72, 104, 1]","[0, 0, 0]","[45, 71, 3]","[27, 57, 2]","[90, 109, 10]","[0, 0, 0]",To be calculated,To be calculated
394,L Tucker,"[132, 143, 6]","[17, 15, 1]","[11, 18, 1]","[0, 0, 0]","[52, 87, 2]","[99, 141, 5]","[41, 42, 1]","[0, 0, 0]",To be calculated,To be calculated
395,L Vincent,"[400, 581, 17]","[39, 38, 0]","[156, 214, 6]","[0, 0, 0]","[31, 26, 0]","[0, 0, 0]","[56, 80, 1]","[4, 5, 0]",To be calculated,To be calculated
396,L Winfield,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
397,L Wolvaardt,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
398,LC Sthalekar,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
399,LD Chandimal,"[1009, 1456, 33]","[40, 77, 4]","[412, 552, 21]","[0, 0, 0]","[469, 620, 13]","[273, 389, 4]","[332, 466, 9]","[0, 0, 0]",To be calculated,To be calculated
400,LD Madushanka,"[1, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
401,LDVV Silva,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
402,LE Kaushalya,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",To be calculated,To be calculated
